Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3_1 []"
0,-334.887,-693.483,-270.104
0.01,-66.47545775,-69.42407746,-167.2181624
0.02,-60.45847059,-63.32729412,-69.76894403
0.03,-56.93903067,-59.77742331,-66.68391604
0.04,-54.44564706,-57.27347059,-63.73933603
0.05,-52.50508147,-55.3301889,-61.94342004
0.06,-50.93211817,-53.75991137,-60.23478003
0.07,-49.62863903,-52.46070213,-58.97291004
0.08,-48.46385135,-51.30258108,-57.77465603
0.09,-47.44554048,-50.29301928,-56.80473804
0.1,-46.53129205,-49.38821622,-55.88522003
0.11,-45.76283703,-48.63145946,-55.10034204
0.12,-44.99438201,-47.8747027,-54.36032002
0.13,-44.31345161,-47.20740323,-53.71267999
0.14,-43.69087097,-46.59974194,-53.10129998
0.15,-43.08053226,-46.00456452,-52.54874998
0.16,-42.55996774,-45.50093548,-52.02419998
0.17,-42.03940323,-44.99730645,-51.53589999
0.18,-41.56683871,-44.54348387,-51.08287999
0.19,-41.12127419,-44.11767742,-50.66653999
0.2,-40.68493548,-43.70148387,-50.27371999
0.21,-40.29703226,-43.33575806,-49.900556
0.22,-39.90912903,-42.97003226,-49.551108
0.23,-39.55275806,-42.63720968,-49.217522
0.24,-39.21122581,-42.31987097,-48.9256
0.25,-38.87727419,-42.01051613,-48.65575
0.26,-38.57364516,-41.73309677,-48.393908
0.27,-38.27001613,-41.45567742,-48.135366
0.28,-37.98903226,-41.20264516,-47.87408
0.29,-37.71685484,-40.95909677,-47.61194001
0.3,-37.45106452,-40.72241935,-47.40146001
0.31,-37.2055,-40.5075,-47.20254201
0.32,-36.95993548,-40.29258065,-47.01616801
0.33,-36.73214516,-40.09666129,-46.83164201
0.34,-36.50996774,-39.90674194,-46.63854801
0.35,-36.29343548,-39.72291935,-46.44477001
0.36,-36.09141935,-39.55477419,-46.29736
0.37,-35.88940323,-39.38662903,-46.15144599
0.38,-35.70125806,-39.23429032,-46.02140399
0.39,-35.51658065,-39.08590323,-45.89021199
0.4,-35.33693548,-38.94306452,-45.74732
0.41,-35.16798387,-38.81201613,-45.609608
0.42,-34.99903226,-38.68096774,-45.502696
0.43,-34.84159677,-38.56312903,-45.399558
0.44,-34.68635484,-38.44780645,-45.311664
0.45,-34.5356129,-38.33756452,-45.22013
0.46,-34.39287097,-38.23635484,-45.117844
0.47,-34.25012903,-38.13514516,-45.023616
0.48,-34.11696774,-38.04529032,-44.947544
0.49,-33.9851129,-37.95698387,-44.879098
0.5,-33.85729032,-37.87335484,-44.8241
0.51,-33.73551613,-37.79674194,-44.763538
0.52,-33.61374194,-37.72012903,-44.695176
0.53,-33.50012903,-37.65390323,-44.635042
0.54,-33.38722581,-37.58858065,-44.584156
0.55,-33.27804839,-37.52769355,-44.54515
0.56,-33.1736129,-37.47245161,-44.51688
0.57,-33.06917742,-37.41720968,-44.48116
