Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3_1 []"
0.58,-32.97132258,-37.37125806,-44.44004
0.59,-32.87374194,-37.32569355,-44.406418
0.6,-32.77967114,-37.28460403,-44.37712
0.61,-32.68940268,-37.24836242,-44.363398
0.62,-32.59913423,-37.21212081,-44.356716
0.63,-32.51222148,-37.18074497,-44.34163
0.64,-32.42866443,-37.1542349,-44.32364
0.65,-32.34510738,-37.12772483,-44.31098
0.66,-32.26455556,-37.10572054,-44.299672
0.67,-32.18677778,-37.08787542,-44.30676
0.68,-32.109,-37.0700303,-44.31704
0.69,-32.03413423,-37.05664765,-44.319398
0.7,-31.96165101,-37.04691611,-44.32094
0.71,-31.88916779,-37.03718456,-44.321494
0.72,-31.8193871,-37.03223387,-44.322224
0.73,-31.75164516,-37.03088978,-44.336616
0.74,-31.68390323,-37.0295457,-44.351404
0.75,-31.61616129,-37.02820161,-44.37145
0.76,-31.55161828,-37.03394086,-44.391496
0.77,-31.48763978,-37.04093011,-44.411542
0.78,-31.42366129,-37.04791935,-44.432508
0.79,-31.36010215,-37.0558172,-44.457694
0.8,-31.29934946,-37.0697957,-44.48324
0.81,-31.23859677,-37.08377419,-44.509968
0.82,-31.17784409,-37.09775269,-44.536548
0.83,-31.1178629,-37.1140457,-44.562762
0.84,-31.05899194,-37.13366935,-44.58968
0.85,-31.00012097,-37.15329301,-44.61795
0.86,-30.94125,-37.17291667,-44.64622
0.87,-30.88293548,-37.19532258,-44.67449
0.88,-30.82487097,-37.21897849,-44.702064
0.89,-30.76680645,-37.24263441,-44.728792
0.9,-30.70874194,-37.26629032,-44.75448
0.91,-30.65067742,-37.29203226,-44.779152
0.92,-30.5926129,-37.31783871,-44.802096
0.93,-30.53454839,-37.34364516,-44.823684
0.94,-30.47621505,-37.3693172,-44.842112
0.95,-30.41707527,-37.39458602,-44.85856
0.96,-30.35793548,-37.41985484,-44.868128
0.97,-30.2987957,-37.44512366,-44.874296
0.98,-30.23874531,-37.46850938,-44.878976
0.99,-30.1778874,-37.4902252,-44.883088
1,-30.11702949,-37.51194102,-44.8864
1.01,-30.05617158,-37.53365684,-44.889484
1.02,-29.99225,-37.5535,-44.872452
1.03,-29.9335,-37.5685,-44.851378
1.04,-29.868,-37.583,-44.829392
1.05,-29.802,-37.595,-44.80729
1.06,-29.735,-37.603,-44.78422
1.07,-29.66933333,-37.60866667,-44.76109
1.08,-29.5996,-37.6038,-44.708264
1.09,-29.53137778,-37.59802222,-44.655192
1.1,-29.46315556,-37.59224444,-44.59968
1.11,-29.39493333,-37.58646667,-44.544168
1.12,-29.32493333,-37.57224444,-44.488656
1.13,-29.25226667,-37.54535556,-44.428388
1.14,-29.1796,-37.51846667,-44.343064
1.15,-29.10693333,-37.49157778,-44.25697
1.16,-29.03426667,-37.46468889,-44.168048
1.17,-28.95622727,-37.41413636,-44.079402
1.18,-28.87759091,-37.36095455,-43.991508
1.19,-28.79895455,-37.30777273,-43.895978
1.2,-28.72031818,-37.25459091,-43.78444
1.21,-28.64044444,-37.18877778,-43.67135
1.22,-28.55933333,-37.11033333,-43.5557
1.23,-28.47822222,-37.03188889,-43.440494
1.24,-28.39711111,-36.95344444,-43.325872
1.25,-28.316,-36.875,-43.2045
1.26,-28.23111111,-36.77166667,-43.076
1.27,-28.14622222,-36.66833333,-42.945554
1.28,-28.06133333,-36.565,-42.813456
1.29,-27.97644444,-36.46166667,-42.68135801
1.3,-27.88911364,-36.34647727,-42.54926001
1.31,-27.79934091,-36.21943182,-42.415492
1.32,-27.70956818,-36.09238636,-42.280824
1.33,-27.61979545,-35.96534091,-42.14362199
1.34,-27.52997778,-35.83706667,-42.00535599
1.35,-27.43975556,-35.69773333,-41.8667
1.36,-27.34953333,-35.5584,-41.72792
1.37,-27.25931111,-35.41906667,-41.59332
1.38,-27.16908889,-35.27973333,-41.45968
1.39,-27.07793333,-35.1352,-41.32604
1.4,-26.98615556,-34.9872,-41.1924
1.41,-26.89437778,-34.8392,-41.055442
1.42,-26.8026,-34.6912,-40.918204
1.43,-26.71048276,-34.54237931,-40.788998
1.44,-26.61531034,-34.38617241,-40.660048
1.45,-26.52013793,-34.22996552,-40.53309
1.46,-26.42553333,-34.0748,-40.406308
1.47,-26.3332,-33.9238,-40.281406
1.48,-26.24086667,-33.7728,-40.157944
1.49,-26.1486,-33.62226667,-40.043322
1.5,-26.0566,-33.4736,-39.9273
1.51,-25.9646,-33.32493333,-39.805482
1.52,-25.8726,-33.177,-39.689168
1.53,-25.7806,-33.032,-39.589452
1.54,-25.6886,-32.887,-39.486928
1.55,-25.59673333,-32.74273333,-39.37796
1.56,-25.5054,-32.6014,-39.274512
1.57,-25.409,-32.4555,-39.180964
1.58,-25.3124,-32.3116,-39.087416
1.59,-25.2204,-32.17693333,-38.993868
1.6,-25.1284,-32.046,-38.89936
1.61,-25.0385,-31.91975,-38.803756
1.62,-24.945,-31.7925,-38.715656
1.63,-24.85675,-31.67275,-38.634444
1.64,-24.79475,-31.5735,-38.556488
1.65,-24.7985,-31.481,-38.48093
1.66,-24.9145,-31.407,-38.408936
1.67,-24.908,-31.33,-38.339032
1.68,-24.772,-31.221,-38.273352
1.69,-24.62475,-31.071,-38.209616
1.7,-24.501,-30.922,-38.15006
1.71,-24.393,-30.78685714,-38.091978
1.72,-24.30028571,-30.66857143,-38.038792
1.73,-24.2076,-30.55053333,-37.986878
1.74,-24.1216,-30.44186667,-37.93976
1.75,-24.0398,-30.3392,-37.8935
1.76,-23.9598,-30.2396,-37.85188
1.77,-23.8818,-30.1436,-37.81076
1.78,-23.8068,-30.0518,-37.775544
1.79,-23.7332,-29.96276,-37.740652
1.8,-23.6612,-29.87716,-37.71084
1.81,-23.5892,-29.79156,-37.681368
1.82,-23.517875,-29.7095,-37.656696
1.83,-23.446625,-29.62783333,-37.632706
1.84,-23.3784,-29.5508,-37.613688
1.85,-23.3132,-29.4784,-37.59548
1.86,-23.248,-29.406,-37.581088
1.87,-23.1856,-29.34,-37.568584
1.88,-23.1232,-29.274,-37.562416
1.89,-23.0622,-29.2108,-37.556686
1.9,-23.0026,-29.1504,-37.55206
1.91,-22.943,-29.09,-37.548826
1.92,-22.8862,-29.0352,-37.548312
1.93,-22.8294,-28.9804,-37.549414
1.94,-22.77266667,-28.92716667,-37.553012
1.95,-22.716,-28.8755,-37.55868
1.96,-22.65984,-28.82456,-37.566904
1.97,-22.60824,-28.78016,-37.582868
1.98,-22.55664,-28.73576,-37.606512
1.99,-22.50692308,-28.69446154,-37.62272
2,-22.45775,-28.65525,-37.633
2.01,-22.40708333,-28.61625,-37.6527
2.02,-22.35791667,-28.57875,-37.6784
2.03,-22.31284615,-28.54523077,-37.70239
2.04,-22.266,-28.512,-37.72552
2.05,-22.21933333,-28.48033333,-37.75087
2.06,-22.176,-28.451,-37.777084
2.07,-22.132,-28.4235,-37.809666
2.08,-22.089,-28.397,-37.844104
2.09,-22.048875,-28.37425,-37.872578
2.1,-22.0065,-28.35,-37.89982
2.11,-21.96685714,-28.32942857,-37.94159
2.12,-21.928625,-28.309875,-37.98528
2.13,-21.888,-28.29028571,-38.01933
2.14,-21.8505,-28.272875,-38.05274
2.15,-21.81456667,-28.25796667,-38.10094
2.16,-21.77823333,-28.24363333,-38.14904
2.17,-21.7419,-28.2293,-38.19273
2.18,-21.70589655,-28.21703448,-38.236264
2.19,-21.67003448,-28.20565517,-38.278412
2.2,-21.63417241,-28.19427586,-38.32224
2.21,-21.60086667,-28.1856,-38.375182
2.22,-21.5682,-28.1776,-38.426288
2.23,-21.53553333,-28.1696,-38.470492
2.24,-21.50393333,-28.16373333,-38.517008
2.25,-21.4726,-28.1584,-38.56995
2.26,-21.44126667,-28.15306667,-38.6224
2.27,-21.41073333,-28.14933333,-38.6738
2.28,-21.3804,-28.146,-38.723664
2.29,-21.35006667,-28.14266667,-38.770952
2.3,-21.31972414,-28.14034483,-38.82154
2.31,-21.28937931,-28.13827586,-38.876538
2.32,-21.25903448,-28.1362069,-38.928312
2.33,-21.2305,-28.1354,-38.976628
2.34,-21.20216667,-28.13473333,-39.024944
2.35,-21.17383333,-28.13406667,-39.07326
2.36,-21.1458,-28.134,-39.12188
2.37,-21.1178,-28.134,-39.17071
2.38,-21.0898,-28.134,-39.218212
2.39,-21.0621,-28.134,-39.264986
2.4,-21.03443333,-28.134,-39.31032
2.41,-21.00676667,-28.134,-39.355038
2.42,-20.97824138,-28.13337931,-39.397816
2.43,-20.94962069,-28.13268966,-39.439964
2.44,-20.921,-28.132,-39.4792
2.45,-20.89366667,-28.13033333,-39.51775
2.46,-20.86633333,-28.12866667,-39.553636
2.47,-20.839,-28.127,-39.589102
2.48,-20.811,-28.12366667,-39.620792
2.49,-20.783,-28.12033333,-39.652146
2.5,-20.755,-28.117,-39.6805
2.51,-20.727,-28.11133333,-39.708686
2.52,-20.699,-28.10566667,-39.733872
2.53,-20.671,-28.1,-39.755614
2.54,-20.642,-28.09166667,-39.738652
2.55,-20.613,-28.08333333,-39.71819
2.56,-20.584,-28.075,-39.675528
2.57,-20.55365517,-28.06293103,-39.626594
2.58,-20.52331034,-28.05086207,-39.551036
2.59,-20.49296667,-28.0385,-39.544652
2.6,-20.46263333,-28.0235,-39.75128
2.61,-20.4323,-28.0085,-39.9268
2.62,-20.40186667,-27.99303333,-40.0296
2.63,-20.37053333,-27.97336667,-40.062694
2.64,-20.3392,-27.9537,-39.968632
2.65,-20.30776667,-27.9336,-39.88969
2.66,-20.27543333,-27.9096,-39.832636
2.67,-20.2431,-27.8856,-39.779152
2.68,-20.21051724,-27.86106897,-39.729808
2.69,-20.17568966,-27.83175862,-39.678602
2.7,-20.14086207,-27.80244828,-39.62566
2.71,-20.10606667,-27.77226667,-39.571542
2.72,-20.0714,-27.7386,-39.516544
2.73,-20.03673333,-27.70493333,-39.459936
2.74,-20.0018,-27.67033333,-39.402368
2.75,-19.9658,-27.632,-39.3427
2.76,-19.9298,-27.59366667,-39.282048
2.77,-19.89353333,-27.55433333,-39.22064
2.78,-19.8562,-27.511,-39.15896
2.79,-19.81886667,-27.46766667,-39.094438
2.8,-19.78106897,-27.42306897,-39.02916
2.81,-19.74141379,-27.37341379,-38.963014
2.82,-19.70175862,-27.32375862,-38.896708
2.83,-19.6622,-27.2733,-38.828092
2.84,-19.62286667,-27.22096667,-38.759216
2.85,-19.58353333,-27.16863333,-38.68838
2.86,-19.54388,-27.1152,-38.617456
2.87,-19.50348,-27.0592,-38.547552
2.88,-19.46308,-27.0032,-38.47736
2.89,-19.42172,-26.94464,-38.40283
2.9,-19.38012,-26.88544,-38.32794
2.91,-19.3384,-26.82552,-38.250326
2.92,-19.2964,-26.76392,-38.173856
2.93,-19.2544,-26.70232,-38.102924
2.94,-19.21033333,-26.63633333,-38.030484
2.95,-19.16575,-26.56925,-37.95287
2.96,-19.12172,-26.50244,-37.87396
2.97,-19.07852,-26.43604,-37.79172
2.98,-19.03532,-26.36964,-37.713952
2.99,-18.9914,-26.3018,-37.645076
3,-18.9474,-26.2338,-37.5732
3.01,-18.9034,-26.16548,-37.496614
3.02,-18.8594,-26.09668,-37.416836
3.03,-18.8154,-26.02788,-37.333054
3.04,-18.77104,-25.958,-37.259768
3.05,-18.72664,-25.888,-37.19706
3.06,-18.6824,-25.8164,-37.12924
3.07,-18.633,-25.74,-37.05728
3.08,-18.589,-25.67,-36.980016
3.09,-18.544,-25.6,-36.899318
3.1,-18.5,-25.53,-36.83596
3.11,-18.456,-25.46,-36.781476
3.12,-18.412,-25.391,-36.721104
3.13,-18.368,-25.321,-36.658396
3.14,-18.324,-25.2525,-36.587768
3.15,-18.2805,-25.184,-36.51478
3.16,-18.2375,-25.116,-36.46596
3.17,-18.195,-25.0485,-36.42227
3.18,-18.1535,-24.982,-36.373156
3.19,-18.11022222,-24.91233333,-36.323298
3.2,-18.068,-24.8446,-36.26192
3.21,-18.0292,-24.7812,-36.199726
3.22,-17.9924,-24.7194,-36.168012
3.23,-17.9576,-24.659,-36.136526
3.24,-17.9254,-24.6008,-36.102088
3.25,-17.8968,-24.545,-36.0663
3.26,-17.8718,-24.492,-36.017984
3.27,-17.8526,-24.4424,-35.974114
3.28,-17.84,-24.3966,-35.955096
3.29,-17.8314,-24.354,-35.936184
3.3,-17.8252,-24.314,-35.91768
3.31,-17.81275,-24.2715,-35.895424
3.32,-17.7862,-24.2224,-35.862528
3.33,-17.7464,-24.1712,-35.836598
3.34,-17.6944,-24.1154,-35.825804
3.35,-17.635,-24.057,-35.81596
3.36,-17.5746,-23.9984,-35.807736
3.37,-17.5154,-23.9408,-35.795806
3.38,-17.45775,-23.88375,-35.778844
3.39,-17.40438462,-23.83,-35.775412
3.4,-17.35516667,-23.77983333,-35.78672
3.41,-17.306,-23.729,-35.790082
3.42,-17.26292308,-23.68438462,-35.786484
3.43,-17.21908333,-23.63891667,-35.789832
3.44,-17.17616667,-23.59433333,-35.798056
3.45,-17.13592308,-23.55246154,-35.81024
3.46,-17.099,-23.514,-35.824632
3.47,-17.06066667,-23.47483333,-35.830074
3.48,-17.02516,-23.43916,-35.831616
3.49,-16.99036,-23.40436,-35.85516
3.5,-16.95628,-23.37064,-35.886
3.51,-16.92388,-23.33944,-35.906076
3.52,-16.89148,-23.30824,-35.923552
3.53,-16.86068,-23.2796,-35.940144
3.54,-16.83028,-23.2516,-35.956592
3.55,-16.8,-23.22425,-35.98385
3.56,-16.77,-23.19841667,-36.01212
3.57,-16.74,-23.17258333,-36.052342
3.58,-16.7134,-23.1516,-36.093044
3.59,-16.68717778,-23.13115556,-36.137762
3.6,-16.66095556,-23.11071111,-36.18152
3.61,-16.63473333,-23.09026667,-36.213902
3.62,-16.60957778,-23.07186667,-36.246896
3.63,-16.58602222,-23.05653333,-36.283904
3.64,-16.56246667,-23.0412,-36.324176
3.65,-16.53891111,-23.02586667,-36.37866
3.66,-16.51535556,-23.01053333,-36.43054
3.67,-16.49377273,-22.99897727,-36.47423
3.68,-16.47240909,-22.98784091,-36.518224
3.69,-16.45104545,-22.97670455,-36.562942
3.7,-16.42968182,-22.96556818,-36.61414
3.71,-16.40966667,-22.95666667,-36.677362
3.72,-16.391,-22.95,-36.736632
3.73,-16.37233333,-22.94333333,-36.790088
3.74,-16.35366667,-22.93666667,-36.842836
3.75,-16.335,-22.93,-36.89475
3.76,-16.31855556,-22.92688889,-36.956168
3.77,-16.30211111,-22.92377778,-37.026586
3.78,-16.28566667,-22.92066667,-37.09204
3.79,-16.26922222,-22.91755556,-37.15372
3.8,-16.2535,-22.91588636,-37.21316
3.81,-16.2385,-22.91565909,-37.271242
3.82,-16.2235,-22.91543182,-37.340112
3.83,-16.2085,-22.91520455,-37.414128
3.84,-16.19366667,-22.9152,-37.48288
3.85,-16.18033333,-22.9172,-37.5497
3.86,-16.167,-22.9192,-37.612884
3.87,-16.15366667,-22.9212,-37.675078
3.88,-16.14033333,-22.9232,-37.747208
3.89,-16.12793333,-22.92626667,-37.821224
3.9,-16.11615556,-22.93004444,-37.89018
3.91,-16.10437778,-22.93382222,-37.958542
3.92,-16.0926,-22.9376,-38.022024
3.93,-16.08086364,-22.94145455,-38.085274
3.94,-16.0695,-22.946,-38.155692
3.95,-16.05813636,-22.95054545,-38.22581
3.96,-16.04677273,-22.9555,-38.291088
3.97,-16.03540909,-22.9605,-38.355844
3.98,-16.02469565,-22.96534783,-38.416496
3.99,-16.01426087,-22.97013043,-38.47732
4,-16.00381818,-22.975,-38.539
4.01,-15.99336364,-22.98,-38.599768
4.02,-15.98290909,-22.98490909,-38.657336
4.03,-15.97245455,-22.98945455,-38.71391
4.04,-15.962,-22.994,-38.76788
4.05,-15.952,-22.99791304,-38.82015
4.06,-15.942,-23.00182609,-38.86898
4.07,-15.93168182,-23.00554545,-38.916622
4.08,-15.92122727,-23.00918182,-38.962368
4.09,-15.91077273,-23.01236364,-39.006532
4.1,-15.90031818,-23.01509091,-39.04868
4.11,-15.88972727,-23.01740909,-39.08651
4.12,-15.87881818,-23.01877273,-39.11992
4.13,-15.86795652,-23.02004348,-39.151356
4.14,-15.85752174,-23.02047826,-39.181168
4.15,-15.84708696,-23.02091304,-39.20912
4.16,-15.83590909,-23.01990909,-39.235848
4.17,-15.82454545,-23.01854545,-39.25514
4.18,-15.81290909,-23.01636364,-39.27056
4.19,-15.80109091,-23.01363636,-39.283052
4.2,-15.78930435,-23.01026087,-39.29436
4.21,-15.77756522,-23.00591304,-39.303698
4.22,-15.76572727,-23.00131818,-39.312436
4.23,-15.753,-22.9945,-39.311468
4.24,-15.74027273,-22.98768182,-39.308384
4.25,-15.72713636,-22.97922727,-39.3008
4.26,-15.71395455,-22.97059091,-39.292576
4.27,-15.70056522,-22.96069565,-39.281962
4.28,-15.68708696,-22.95026087,-39.271168
4.29,-15.673,-22.93827273,-39.251266
4.3,-15.658,-22.92395455,-39.231
4.31,-15.643,-22.90963636,-39.2053
4.32,-15.628,-22.89531818,-39.178976
4.33,-15.613,-22.881,-39.146594
4.34,-15.597,-22.86211111,-39.113452
4.35,-15.581,-22.84322222,-39.07593
4.36,-15.565,-22.82433333,-39.03716
4.37,-15.549,-22.80544444,-38.99347
4.38,-15.53222222,-22.78411111,-38.948592
4.39,-15.51466667,-22.76033333,-38.900276
4.4,-15.49711111,-22.73655556,-38.85052
4.41,-15.47955556,-22.71277778,-38.797578
4.42,-15.462,-22.689,-38.742944
4.43,-15.44268182,-22.66013636,-38.685376
4.44,-15.42336364,-22.63127273,-38.626296
4.45,-15.40404545,-22.60240909,-38.56513
4.46,-15.38472727,-22.57354545,-38.502256
4.47,-15.36473333,-22.5424,-38.437492
4.48,-15.34428889,-22.50973333,-38.371368
4.49,-15.32384444,-22.47706667,-38.304034
4.5,-15.3034,-22.4444,-38.2349
4.51,-15.28286667,-22.41137778,-38.164482
4.52,-15.26153333,-22.37515556,-38.093408
4.53,-15.2402,-22.33893333,-38.021962
4.54,-15.21886667,-22.30271111,-37.949092
4.55,-15.19753333,-22.26648889,-37.87559
4.56,-15.17509091,-22.22786364,-37.801704
4.57,-15.15190909,-22.18763636,-37.727688
4.58,-15.12872727,-22.14740909,-37.653672
4.59,-15.10554545,-22.10718182,-37.579656
4.6,-15.08233333,-22.06673333,-37.50564
4.61,-15.059,-22.0254,-37.431624
4.62,-15.03566667,-21.98406667,-37.359012
4.63,-15.01233333,-21.94273333,-37.286538
4.64,-14.989,-21.9014,-37.214064
4.65,-14.96481818,-21.85877273,-37.14167
4.66,-14.94027273,-21.81559091,-37.073308
4.67,-14.91626087,-21.77313043,-37.004908
4.68,-14.89278261,-21.7313913,-36.936032
4.69,-14.86918182,-21.68918182,-36.86808
4.7,-14.84509091,-21.64509091,-36.8064
4.71,-14.821,-21.601,-36.744438
4.72,-14.79645455,-21.55736364,-36.681216
4.73,-14.77190909,-21.51372727,-36.620312
4.74,-14.74736364,-21.47009091,-36.566856
4.75,-14.72281818,-21.42645455,-36.5119
4.76,-14.69917391,-21.38421739,-36.453304
4.77,-14.67613043,-21.34291304,-36.398268
4.78,-14.65304545,-21.30131818,-36.349952
4.79,-14.62986364,-21.25904545,-36.303284
4.8,-14.60668182,-21.21686364,-36.25908
4.81,-14.5835,-21.1755,-36.217684
4.82,-14.56031818,-21.13413636,-36.179648
4.83,-14.53925,-21.09625,-36.145018
4.84,-14.51709091,-21.05636364,-36.113664
4.85,-14.49436364,-21.01654545,-36.08492
4.86,-14.47209091,-20.97745455,-36.058192
4.87,-14.44990909,-20.93836364,-36.034644
4.88,-14.42745455,-20.89954545,-36.013056
4.89,-14.40583333,-20.86216667,-35.994928
4.9,-14.385,-20.828,-35.97848
4.91,-14.36136364,-20.79072727,-35.966894
4.92,-14.33772727,-20.75427273,-35.957128
4.93,-14.31263636,-20.71790909,-35.958216
4.94,-14.28654545,-20.68154545,-35.962328
4.95,-14.25909091,-20.64518182,-35.95526
4.96,-14.23125,-20.61075,-35.946008
4.97,-14.20272727,-20.57736364,-35.957824
4.98,-14.17181818,-20.54190909,-35.972216
4.99,-14.14072727,-20.50654545,-35.973486
5,-14.108,-20.472,-35.974
5.01,-14.07569231,-20.43815385,-35.998672
5.02,-14.04392308,-20.40538462,-36.02256
5.03,-14.01357143,-20.37428571,-36.03284
5.04,-13.985,-20.345,-36.045472
5.05,-13.95653846,-20.315,-36.07734
5.06,-13.929,-20.287,-36.107276
5.07,-13.90171429,-20.25871429,-36.127322
5.08,-13.87564,-20.23156,-36.151288
5.09,-13.85204,-20.20716,-36.189324
5.1,-13.82844,-20.18276,-36.2247
5.11,-13.80604,-20.1598,-36.25297
5.12,-13.78444,-20.1378,-36.28628
5.13,-13.76308,-20.116,-36.32997
5.14,-13.74388,-20.096,-36.370524
5.15,-13.72468,-20.076,-36.40599
5.16,-13.70644,-20.05744,-36.447056
5.17,-13.68884,-20.03984,-36.495372
5.18,-13.67129167,-20.022375,-36.540664
5.19,-13.65420833,-20.006125,-36.582812
5.2,-13.637125,-19.989875,-36.63056
5.21,-13.62192,-19.97548,-36.682988
5.22,-13.60752,-19.96188,-36.732644
5.23,-13.59328,-19.9486,-36.780446
5.24,-13.57968,-19.9366,-36.836984
5.25,-13.56608,-19.9246,-36.89815
5.26,-13.55332,-19.914,-36.957496
5.27,-13.54092,-19.904,-37.016092
5.28,-13.52884,-19.89432,-37.06724
5.29,-13.51804,-19.88592,-37.11607
5.3,-13.50724,-19.87752,-37.17708
5.31,-13.497,-19.87004167,-37.240816
5.32,-13.487,-19.86295833,-37.305896
5.33,-13.47736,-19.85644,-37.371174
5.34,-13.46856,-19.85124,-37.427884
5.35,-13.45976,-19.84604,-37.48391
5.36,-13.45192,-19.8418,-37.551528
5.37,-13.44432,-19.8378,-37.619502
5.38,-13.43708,-19.83428,-37.690948
5.39,-13.43068,-19.83188,-37.761658
5.4,-13.42428,-19.82948,-37.82488
5.41,-13.41884,-19.82804,-37.889286
5.42,-13.41364,-19.82684,-37.960732
5.43,-13.408625,-19.826,-38.0333
5.44,-13.40404167,-19.826,-38.1104
5.45,-13.39945833,-19.826,-38.18568
5.46,-13.39576,-19.82672,-38.255584
5.47,-13.39216,-19.82752,-38.327068
5.48,-13.38906667,-19.8288,-38.402112
5.49,-13.38673333,-19.8308,-38.479388
5.5,-13.3844,-19.8328,-38.5606
5.51,-13.38246667,-19.83506667,-38.639244
5.52,-13.38113333,-19.83773333,-38.714288
5.53,-13.3798,-19.8404,-38.7903
5.54,-13.37872414,-19.84351724,-38.8674
5.55,-13.37803448,-19.84731034,-38.94747
5.56,-13.37734483,-19.85110345,-39.030224
5.57,-13.377,-19.85516667,-39.109998
5.58,-13.377,-19.8595,-39.187612
5.59,-13.377,-19.86383333,-39.264248
5.6,-13.3775,-19.86833333,-39.34032
5.61,-13.3785,-19.873,-39.418162
5.62,-13.3795,-19.87766667,-39.496804
5.63,-13.38066667,-19.88266667,-39.572772
5.64,-13.382,-19.888,-39.647816
5.65,-13.38333333,-19.89333333,-39.71917
5.66,-13.385,-19.8985,-39.789588
5.67,-13.387,-19.9035,-39.857378
5.68,-13.389,-19.9085,-39.924712
5.69,-13.39103448,-19.91375862,-39.989716
5.7,-13.39310345,-19.91927586,-40.05448
5.71,-13.39517241,-19.9247931,-40.113316
5.72,-13.39735,-19.93,-40.171776
5.73,-13.3996,-19.935,-40.221634
5.74,-13.40185,-19.94,-40.271348
5.75,-13.4041,-19.945,-40.31915
5.76,-13.40635,-19.9491,-40.365032
5.77,-13.4086,-19.9526,-40.397414
5.78,-13.41085,-19.9561,-40.429428
5.79,-13.4131,-19.9596,-40.459754
5.8,-13.41538462,-19.96223077,-40.48708
5.81,-13.41769231,-19.96428205,-40.504556
5.82,-13.42,-19.96633333,-40.51996
5.83,-13.42230769,-19.96838462,-40.53024
5.84,-13.424225,-19.969175,-40.53788
5.85,-13.425975,-19.969425,-40.54045
5.86,-13.427725,-19.969675,-40.538736
5.87,-13.429475,-19.969925,-40.530512
5.88,-13.430875,-19.968775,-40.520432
5.89,-13.432125,-19.967025,-40.508096
5.9,-13.433375,-19.965275,-40.48952
5.91,-13.434625,-19.963525,-40.464848
5.92,-13.43517949,-19.96030769,-40.438448
5.93,-13.4354359,-19.95646154,-40.410692
5.94,-13.43569231,-19.95261538,-40.37788
5.95,-13.43594872,-19.94876923,-40.3419
5.96,-13.4354,-19.943,-40.302824
5.97,-13.43465,-19.93675,-40.262218
5.98,-13.4339,-19.9305,-40.218636
5.99,-13.43315,-19.92425,-40.173918
6,-13.4316,-19.916,-40.1256
6.01,-13.42985,-19.90725,-40.076256
6.02,-13.4281,-19.8985,-40.024772
6.03,-13.42635,-19.88975,-39.972858
6.04,-13.42353846,-19.8785641,-39.91912
6.05,-13.42046154,-19.86676923,-39.86515
6.06,-13.41738462,-19.85497436,-39.807308
