Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_4 []"
0,-258.81,-258.807,-259.837,-258.368,-259.036
0.025380711,-54.886,-54.597,-55.603,-55.323,-55.558
0.050761421,-48.884,-48.595,-49.598,-49.32,-49.558
0.076142132,-45.395,-45.106,-46.109,-45.832,-46.068
0.101522843,-42.941,-42.652,-43.655,-43.378,-43.612
0.126903553,-41.061,-40.772,-41.776,-41.498,-41.73
0.152284264,-39.552,-39.263,-40.267,-39.99,-40.219
0.177664975,-38.296,-38.007,-39.012,-38.734,-38.96
0.203045685,-37.213,-36.924,-37.931,-37.652,-37.876
0.228426396,-36.298,-36.009,-37.016,-36.738,-36.959
0.253807107,-35.494,-35.206,-36.214,-35.935,-36.154
0.279187817,-34.776,-34.488,-35.497,-35.217,-35.435
0.304568528,-34.164,-33.877,-34.886,-34.606,-34.823
0.329949239,-33.608,-33.321,-34.33,-34.051,-34.266
0.355329949,-33.104,-32.817,-33.827,-33.547,-33.762
0.38071066,-32.749,-32.462,-33.472,-33.193,-33.406
0.406091371,-32.375,-32.088,-33.099,-32.82,-33.033
0.431472081,-31.98,-31.693,-32.703,-32.425,-32.637
0.456852792,-31.659,-31.372,-32.382,-32.105,-32.315
0.482233503,-31.435,-31.149,-32.159,-31.882,-32.09
0.507614213,-31.181,-30.895,-31.905,-31.629,-31.834
0.532994924,-30.901,-30.615,-31.626,-31.35,-31.553
0.558375635,-30.767,-30.482,-31.494,-31.218,-31.416
0.583756345,-30.622,-30.339,-31.352,-31.075,-31.269
0.609137056,-30.45,-30.168,-31.181,-30.904,-31.093
0.634517767,-30.313,-30.032,-31.046,-30.769,-30.954
0.659898477,-30.251,-29.973,-30.989,-30.709,-30.891
0.685279188,-30.163,-29.887,-30.905,-30.624,-30.802
0.710659899,-30.052,-29.777,-30.797,-30.514,-30.688
0.736040609,-30.003,-29.731,-30.752,-30.467,-30.639
0.76142132,-29.962,-29.692,-30.716,-30.427,-30.598
0.786802031,-29.939,-29.671,-30.697,-30.405,-30.575
0.812182741,-29.933,-29.666,-30.694,-30.397,-30.567
0.837563452,-29.932,-29.664,-30.694,-30.392,-30.56
0.862944162,-29.958,-29.684,-30.715,-30.407,-30.571
0.888324873,-29.997,-29.712,-30.743,-30.427,-30.583
0.913705584,-30.081,-29.767,-30.796,-30.469,-30.608
0.939086294,-30.273,-29.873,-30.896,-30.546,-30.649
0.964467005,-30.735,-30.068,-31.076,-30.679,-30.711
0.989847716,-34.054,-30.611,-31.559,-30.991,-30.827
1.015228426,-27.005,-34.266,-34.28,-32.106,-31.083
1.040609137,-28.401,-26.71,-27.567,-28.931,-31.925
1.065989848,-28.698,-28.042,-29.042,-28.425,-36.202
1.091370558,-28.776,-28.338,-29.361,-28.957,-28.276
1.116751269,-28.764,-28.409,-29.436,-29.092,-28.947
1.14213198,-28.7,-28.385,-29.413,-29.095,-29.106
1.16751269,-28.597,-28.306,-29.332,-29.028,-29.108
1.192893401,-28.466,-28.188,-29.214,-28.919,-29.036
1.218274112,-28.299,-28.03,-29.055,-28.764,-28.903
1.243654822,-28.129,-27.868,-28.892,-28.605,-28.764
1.269035533,-27.93,-27.674,-28.698,-28.413,-28.587
1.294416244,-27.72,-27.467,-28.49,-28.206,-28.392
1.319796954,-27.5,-27.249,-28.272,-27.988,-28.185
1.345177665,-27.266,-27.015,-28.037,-27.754,-27.958
1.370558376,-27.029,-26.777,-27.799,-27.516,-27.727
1.395939086,-26.79,-26.534,-27.555,-27.272,-27.486
1.421319797,-26.544,-26.283,-27.303,-27.021,-27.238
1.446700508,-26.315,-26.044,-27.062,-26.782,-26.997
1.472081218,-26.082,-25.801,-26.817,-26.538,-26.751
1.497461929,-25.838,-25.547,-26.561,-26.283,-26.496
1.52284264,-25.634,-25.326,-26.337,-26.062,-26.27
1.54822335,-25.426,-25.099,-26.108,-25.836,-26.038
1.573604061,-25.201,-24.858,-25.863,-25.594,-25.792
1.598984772,-25.038,-24.669,-25.672,-25.407,-25.598
1.624365482,-24.865,-24.47,-25.47,-25.208,-25.393
