Freq [GHz],"dB(St(P1,P3)) []","dB(St(P1,P3))_2 []","dB(St(P1,P4))_4 []"
0,-329.003,-681.77,-266.186
0.01,-55.91740845,-54.84249296,-163.2431084
0.02,-49.90047059,-48.90205882,-65.73983203
0.03,-46.38203067,-45.4292454,-62.65274804
0.04,-43.88976471,-42.96288235,-59.70611203
0.05,-41.9511889,-41.04272605,-57.90814004
0.06,-40.38091137,-39.48587735,-56.19719203
0.07,-39.07967058,-38.19718269,-54.93172404
0.08,-37.91774324,-37.04783784,-53.72998403
0.09,-36.90298998,-36.04562837,-52.75698204
0.1,-35.9926426,-35.14775797,-51.83466003
0.11,-35.22862485,-34.39785881,-51.04772604
0.12,-34.4646071,-33.64795966,-50.30581602
0.13,-33.78883871,-32.988,-49.65663399
0.14,-33.17190323,-32.388,-49.04410398
0.15,-32.56730645,-31.80062903,-48.49103998
0.16,-32.05319355,-31.30587097,-47.96687198
0.17,-31.53908065,-30.8111129,-47.48011399
0.18,-31.07348387,-30.36641935,-47.02913999
0.19,-30.63517742,-29.9498871,-46.61536999
0.2,-30.20635484,-29.54322581,-46.22595999
0.21,-29.82732258,-29.1883871,-45.856908
0.22,-29.44829032,-28.83354839,-45.512496
0.23,-29.10133871,-28.51270968,-45.184564
0.24,-28.76948387,-28.20787097,-44.898632
0.25,-28.44537097,-27.91133871,-44.63495
0.26,-28.15222581,-27.64803226,-44.380732
0.27,-27.85908065,-27.38472581,-44.130414
0.28,-27.58974194,-27.1463871,-43.879312
0.29,-27.32966129,-26.91775806,-43.62796601
0.3,-27.07635484,-26.69648387,-43.42702
0.31,-26.8445,-26.4985,-43.23735401
0.32,-26.61264516,-26.30051613,-43.06247201
0.33,-26.39917742,-26.12245161,-42.88976801
0.34,-26.19151613,-25.95067742,-42.70992401
0.35,-25.98995161,-25.78556452,-42.52951001
0.36,-25.80406452,-25.63758065,-42.39496
0.37,-25.61817742,-25.48959677,-42.26193199
0.38,-25.44745161,-25.35806452,-42.145768
0.39,-25.28051613,-25.23064516,-42.028592
0.4,-25.119,-25.10916129,-41.90112
0.41,-24.969,-25.00029032,-41.778754
0.42,-24.819,-24.89141935,-41.686748
0.43,-24.68254839,-24.7971129,-41.598618
0.44,-24.54867742,-24.70558065,-41.526144
0.45,-24.4198871,-24.61970968,-41.45042
0.46,-24.30012903,-24.54390323,-41.365096
0.47,-24.18037097,-24.46809677,-41.287988
0.48,-24.07196774,-24.40435484,-41.229392
0.49,-23.9651129,-24.34225806,-41.178236
0.5,-23.86325806,-24.28564516,-41.1402
0.51,-23.76890323,-24.23725806,-41.096814
0.52,-23.67454839,-24.18887097,-41.045928
0.53,-23.59020968,-24.15124194,-41.004238
0.54,-23.50674194,-24.11454839,-40.972884
0.55,-23.42824194,-24.08282258,-40.95314
0.56,-23.35606452,-24.05741935,-40.943888
0.57,-23.2838871,-24.03201613,-40.927782
0.58,-23.221,-24.01629032,-40.906708
0.59,-23.1585,-24.00096774,-40.893458
0.6,-23.10103356,-23.99106711,-40.88472
0.61,-23.04902013,-23.98704027,-40.893328
