Freq [GHz],"dB(St(P1,P3)) []","dB(St(P1,P3))_2 []","dB(St(P1,P4))_4 []"
0.62,-22.99700671,-23.98301342,-40.909776
0.63,-22.9505302,-23.9843557,-40.917438
0.64,-22.9095906,-23.99106711,-40.922064
0.65,-22.86865101,-23.99777852,-40.93284
0.66,-22.83289226,-24.01010438,-40.945176
0.67,-22.80191582,-24.02761279,-40.980288
0.68,-22.77093939,-24.04512121,-41.019352
0.69,-22.74555705,-24.0677651,-41.048164
0.7,-22.72475168,-24.09461074,-41.07592
0.71,-22.70394631,-24.12145638,-41.103676
0.72,-22.68933065,-24.15460484,-41.131736
0.73,-22.67938441,-24.19250806,-41.179024
0.74,-22.66943817,-24.23041129,-41.226996
0.75,-22.65949194,-24.26831452,-41.28405
0.76,-22.65982796,-24.31581452,-41.341296
0.77,-22.66197849,-24.36500806,-41.399892
0.78,-22.66412903,-24.41420161,-41.460328
0.79,-22.66778226,-24.46489785,-41.529204
0.8,-22.68149194,-24.52565054,-41.6
0.81,-22.69520161,-24.58640323,-41.6771
0.82,-22.70891129,-24.64715591,-41.7542
0.83,-22.72736022,-24.71264785,-41.8313
0.84,-22.75262903,-24.78495968,-41.912624
0.85,-22.77789785,-24.85727151,-42.00206
0.86,-22.80316667,-24.92958333,-42.094352
0.87,-22.83696774,-25.01005645,-42.190984
0.88,-22.87460215,-25.09419624,-42.291096
0.89,-22.91223656,-25.17833602,-42.395438
0.9,-22.94987097,-25.26247581,-42.50368
0.91,-22.9995,-25.35913172,-42.615732
0.92,-23.0495,-25.45617473,-42.73268
0.93,-23.0995,-25.55321774,-42.85347
0.94,-23.15279301,-25.65375538,-42.979632
0.95,-23.21596505,-25.76477688,-43.10916
0.96,-23.2791371,-25.87579839,-43.258296
0.97,-23.34230914,-25.98681989,-43.417122
0.98,-23.41278016,-26.10592493,-43.567764
0.99,-23.48972386,-26.23219839,-43.715282
1,-23.56666756,-26.35847185,-43.8512
1.01,-23.64361126,-26.48474531,-43.983812
1.02,-23.73125,-26.625,-44.16564399
1.03,-23.8145,-26.756,-44.35736599
1.04,-23.911,-26.902,-44.53814399
1.05,-24.012,-27.047,-44.71752999
1.06,-24.117,-27.209,-44.87997599
1.07,-24.22433333,-27.37166667,-45.04137199
1.08,-24.347,-27.5522,-45.268304
1.09,-24.46811111,-27.7302,-45.49492001
1.1,-24.58922222,-27.9082,-45.71080001
1.11,-24.71033333,-28.0862,-45.92392601
1.12,-24.84122222,-28.27566667,-46.11359201
1.13,-24.98677778,-28.48233333,-46.31514801
1.14,-25.13233333,-28.689,-46.57934401
1.15,-25.27788889,-28.89566667,-46.84046
1.16,-25.42344444,-29.10233333,-47.090264
1.17,-25.59918182,-29.34329545,-47.3282
1.18,-25.77827273,-29.58806818,-47.5338
1.19,-25.95736364,-29.83284091,-47.763802
1.2,-26.13645455,-30.07761364,-48.04496
1.21,-26.33144444,-30.33444444,-48.31506
1.22,-26.54233333,-30.60333333,-48.56692
1.23,-26.75322222,-30.87222222,-48.78215
1.24,-26.96411111,-31.14111111,-48.9492
1.25,-27.175,-31.41,-49.14274999
1.26,-27.43166667,-31.68844444,-49.36428399
1.27,-27.68833333,-31.96688889,-49.54884399
1.28,-27.945,-32.24533333,-49.70201599
1.29,-28.20166667,-32.52377778,-49.767978
1.3,-28.49204545,-32.77834091,-49.77466
1.31,-28.81613636,-33.00902273,-49.789692
1.32,-29.14022727,-33.23970455,-49.809224
1.33,-29.46431818,-33.47038636,-49.762872
1.34,-29.79604444,-33.68388889,-49.688856
1.35,-30.19648889,-33.74277778,-49.49822999
1.36,-30.59693333,-33.80166667,-49.27052799
1.37,-30.99737778,-33.86055556,-49.05411199
1.38,-31.39782222,-33.91944444,-48.840288
1.39,-31.87266667,-33.83646667,-48.585432
1.4,-32.39711111,-33.65891111,-48.32432
1.41,-32.92155556,-33.48135556,-47.978362
1.42,-33.446,-33.3038,-47.625244
1.43,-33.98813793,-33.11027586,-47.297226
1.44,-34.68951724,-32.77303448,-46.969776
1.45,-35.39089655,-32.4357931,-46.64133
1.46,-36.12213333,-32.09,-46.311916
1.47,-36.9728,-31.71,-45.97216201
1.48,-37.82346667,-31.33,-45.63759201
1.49,-38.707,-30.94786667,-45.33484601
1.5,-39.722,-30.5572,-45.02620001
1.51,-40.737,-30.16653333,-44.69312801
1.52,-41.69293333,-29.77846667,-44.37656801
1.53,-42.4126,-29.4008,-44.10980201
1.54,-43.13226667,-29.02313333,-43.83523601
1.55,-43.668,-28.64913333,-43.54277
1.56,-43.468,-28.2898,-43.26447199
1.57,-42.8175,-27.9235,-43.01158399
1.58,-41.9194,-27.5666,-42.75933199
1.59,-40.89406667,-27.2386,-42.50798599
1.6,-39.85753333,-26.92553333,-42.25711999
1.61,-38.8465,-26.6265,-42.00680199
1.62,-37.8275,-26.334,-41.772832
1.63,-36.804,-26.07075,-41.553868
1.64,-35.76325,-25.8885,-41.343192
1.65,-34.26,-25.748,-41.13862
1.66,-32.55975,-24.39775,-40.942472
1.67,-31.769,-24.582,-40.751264
1.68,-31.617,-24.433,-40.569208
1.69,-31.41925,-24.22425,-40.391364
1.7,-31.119,-24.005,-40.22264
1.71,-30.77085714,-23.78871429,-40.057132
1.72,-30.41685714,-23.586,-39.901416
1.73,-30.02746667,-23.37373333,-39.748244
1.74,-29.65613333,-23.17306667,-39.6051
1.75,-29.2962,-22.9808,-39.46375
1.76,-28.94446667,-22.79293333,-39.33260801
1.77,-28.60313333,-22.61026667,-39.20256601
1.78,-28.2786,-22.436,-39.083348
1.79,-27.96548,-22.26736,-38.96473399
1.8,-27.66668,-22.10576,-38.85628
1.81,-27.36788,-21.94416,-38.74854
1.82,-27.084875,-21.789625,-38.65088
1.83,-26.803625,-21.635875,-38.554398
1.84,-26.541,-21.492,-38.466504
1.85,-26.297,-21.358,-38.38023
1.86,-26.053,-21.224,-38.301588
1.87,-25.8322,-21.1024,-38.226132
1.88,-25.6114,-20.9808,-38.161368
1.89,-25.4012,-20.8654,-38.097918
1.9,-25.2016,-20.7562,-38.03778
1.91,-25.002,-20.647,-37.980426
1.92,-24.8216,-20.549,-37.928512
1.93,-24.6412,-20.451,-37.879426
1.94,-24.466,-20.35679167,-37.834708
1.95,-24.296,-20.266375,-37.79367
1.96,-24.12832,-20.17736,-37.757176
1.97,-23.98152,-20.10096,-37.733582
1.98,-23.83472,-20.02456,-37.722788
1.99,-23.69753846,-19.95430769,-37.701126
2,-23.56575,-19.888,-37.6708
2.01,-23.43233333,-19.82183333,-37.656174
2.02,-23.30566667,-19.76016667,-37.651548
2.03,-23.19330769,-19.70761538,-37.644528
2.04,-23.08,-19.655,-37.636304
2.05,-22.96966667,-19.60566667,-37.63326
2.06,-22.869,-19.562,-37.632232
2.07,-22.7715,-19.521,-37.64195
2.08,-22.679,-19.483,-37.6548
2.09,-22.594125,-19.451125,-37.658704
2.1,-22.50925,-19.421,-37.66076
2.11,-22.43242857,-19.39514286,-37.689148
2.12,-22.359875,-19.373,-37.721016
2.13,-22.28571429,-19.35228571,-37.73505
2.14,-22.22,-19.33675,-37.7479
2.15,-22.1628,-19.32833333,-37.79186
2.16,-22.1068,-19.32166667,-37.835608
2.17,-22.0508,-19.315,-37.870046
2.18,-22.00141379,-19.32506897,-37.904484
2.19,-21.95486207,-19.34231034,-37.938922
2.2,-21.90831034,-19.35955172,-37.97688
2.21,-21.8718,-19.343,-38.033934
2.22,-21.8378,-19.318,-38.0871
2.23,-21.8038,-19.293,-38.12565
2.24,-21.77833333,-19.304,-38.171
2.25,-21.755,-19.324,-38.23525
2.26,-21.73166667,-19.344,-38.298352
2.27,-21.7166,-19.36746667,-38.359004
2.28,-21.7036,-19.3918,-38.41716
2.29,-21.6906,-19.41613333,-38.47113
2.3,-21.68524138,-19.44665517,-38.53654
2.31,-21.6817931,-19.47872414,-38.617238
2.32,-21.67834483,-19.5107931,-38.689256
2.33,-21.6837,-19.5473,-38.751964
2.34,-21.69003333,-19.5843,-38.817156
2.35,-21.69636667,-19.6213,-38.88449
2.36,-21.7114,-19.664,-38.958512
2.37,-21.7274,-19.70733333,-39.037154
2.38,-21.7434,-19.75066667,-39.118452
2.39,-21.7681,-19.7985,-39.201206
2.4,-21.79376667,-19.84683333,-39.2854
2.41,-21.81943333,-19.89516667,-39.37021
2.42,-21.85458621,-19.94996552,-39.457736
2.43,-21.8907931,-20.00548276,-39.546144
2.44,-21.927,-20.061,-39.634552
2.45,-21.97166667,-20.11933333,-39.72296
2.46,-22.01633333,-20.17766667,-39.81492
2.47,-22.061,-20.236,-39.90744
2.48,-22.11533333,-20.29766667,-40.002792
2.49,-22.16966667,-20.35933333,-40.098396
2.5,-22.224,-20.421,-40.2015
2.51,-22.28833333,-20.48633333,-40.304548
2.52,-22.35266667,-20.55166667,-40.398096
2.53,-22.417,-20.617,-40.490594
2.54,-22.49133333,-20.68433333,-40.571292
2.55,-22.56566667,-20.75166667,-40.64968
2.56,-22.64,-20.819,-40.713416
2.57,-22.72758621,-20.89037931,-40.775094
2.58,-22.81517241,-20.96175862,-40.828036
2.59,-22.90353333,-21.0329,-40.87619
2.6,-22.99886667,-21.1019,-40.9096
2.61,-23.0942,-21.1709,-40.977352
2.62,-23.1906,-21.2398,-41.125384
2.63,-23.2966,-21.3078,-41.27196
2.64,-23.4026,-21.3758,-41.41588
2.65,-23.50976667,-21.44353333,-41.5346
2.66,-23.62743333,-21.50886667,-41.61684
2.67,-23.7451,-21.5742,-41.694796
2.68,-23.86437931,-21.63924138,-41.767784
2.69,-23.99817241,-21.70165517,-41.830132
2.7,-24.13196552,-21.76406897,-41.88256
2.71,-24.26713333,-21.82473333,-41.91235
2.72,-24.4078,-21.8784,-41.9252
2.73,-24.54846667,-21.93206667,-41.963166
2.74,-24.69146667,-21.9838,-42.016108
2.75,-24.8438,-22.0278,-42.03755
2.76,-24.99613333,-22.0718,-42.044232
2.77,-25.15073333,-22.11353333,-42.064522
2.78,-25.3144,-22.1462,-42.089708
2.79,-25.47806667,-22.17886667,-42.094188
2.8,-25.64486207,-22.2087931,-42.09316
2.81,-25.82417241,-22.22775862,-42.083886
2.82,-26.00348276,-22.24672414,-42.073092
2.83,-26.1833,-22.2608,-42.06276
2.84,-26.3643,-22.26346667,-42.05248
2.85,-26.5453,-22.26613333,-42.00692
2.86,-26.72732,-22.26392,-41.959968
2.87,-26.91172,-22.25032,-41.955856
2.88,-27.09612,-22.23672,-41.948352
2.89,-27.27924,-22.21128,-41.889756
2.9,-27.46204,-22.18288,-41.82654
2.91,-27.64268,-22.14992,-41.728366
2.92,-27.81828,-22.10632,-41.641368
2.93,-27.99388,-22.06272,-41.608472
2.94,-28.16266667,-22.00566667,-41.563976
2.95,-28.32975,-21.94525,-41.47968
2.96,-28.48408,-21.88036,-41.383432
2.97,-28.61928,-21.80876,-41.256474
2.98,-28.75448,-21.73716,-41.1548
2.99,-28.85764,-21.65476,-41.1034
3,-28.95724,-21.57116,-41.034
3.01,-29.03844,-21.48356,-40.93634
3.02,-29.09204,-21.38996,-40.82044
3.03,-29.14564,-21.29636,-40.68166
3.04,-29.15136,-21.19556,-40.583328
3.05,-29.15176,-21.09396,-40.52576
3.06,-29.1376,-20.9906,-40.44746
3.07,-29.084,-20.87,-40.35237
3.08,-29.013,-20.758,-40.234816
3.09,-28.919,-20.645,-40.102718
3.1,-28.806,-20.529,-40.03998
3.11,-28.673,-20.412,-40.012738
3.12,-28.523,-20.294,-39.966728
3.13,-28.356,-20.175,-39.913272
3.14,-28.174,-20.0545,-39.830116
3.15,-27.98,-19.9335,-39.73811
3.16,-27.774,-19.8125,-39.04020802
3.17,-27.5575,-19.691,-38.21369603
3.18,-27.332,-19.569,-37.37950003
3.19,-27.08477778,-19.43966667,-36.54425003
3.2,-26.8314,-19.3112,-35.81460003
3.21,-26.5806,-19.1882,-35.09243003
3.22,-26.3212,-19.0646,-35.261292
3.23,-26.0522,-18.94,-35.45152402
3.24,-25.7726,-18.8138,-35.88431202
3.25,-25.4808,-18.6862,-36.31955002
3.26,-25.1766,-18.5558,-36.77752401
3.27,-24.8562,-18.4224,-37.184798
3.28,-24.5244,-18.2862,-37.308672
3.29,-24.1902,-18.1484,-37.400428
3.3,-23.8702,-18.0138,-37.36856
3.31,-23.58225,-17.88425,-37.329456
3.32,-23.3448,-17.7646,-37.269832
3.33,-23.1856,-17.6694,-37.215716
3.34,-23.0714,-17.5864,-37.173568
3.35,-22.9802,-17.5106,-37.1299
3.36,-22.8962,-17.4386,-37.08364
3.37,-22.8086,-17.3676,-37.030404
3.38,-22.70808333,-17.29408333,-36.967696
3.39,-22.60330769,-17.22238462,-36.9227
3.4,-22.49466667,-17.15216667,-36.897
3.41,-22.373,-17.078,-36.858696
3.42,-22.25530769,-17.01030769,-36.809352
3.43,-22.129,-16.93925,-36.770276
3.44,-21.999,-16.86758333,-36.738408
3.45,-21.872,-16.79884615,-36.71083
3.46,-21.752,-16.735,-36.685644
3.47,-21.62366667,-16.66916667,-36.645422
3.48,-21.502,-16.60768,-36.598648
3.49,-21.382,-16.54728,-36.587772
3.5,-21.26404,-16.48844,-36.5888
3.51,-21.15084,-16.43324,-36.570784
3.52,-21.03764,-16.37804,-36.548168
3.53,-20.92988,-16.327,-36.523784
3.54,-20.82348,-16.277,-36.499112
3.55,-20.71825,-16.228125,-36.4923
3.56,-20.61575,-16.181875,-36.48716
3.57,-20.51325,-16.135625,-36.501442
3.58,-20.4242,-16.098,-36.516504
3.59,-20.33664444,-16.06133333,-36.538092
3.6,-20.24908889,-16.02466667,-36.558
3.61,-20.16153333,-15.988,-36.558
3.62,-20.07966667,-15.95533333,-36.558952
3.63,-20.00633333,-15.92866667,-36.566148
3.64,-19.933,-15.902,-36.579104
3.65,-19.85966667,-15.87533333,-36.61714
3.66,-19.78633333,-15.84866667,-36.649844
3.67,-19.72438636,-15.83025,-36.665778
3.68,-19.66370455,-15.81275,-36.682472
3.69,-19.60302273,-15.79525,-36.700976
3.7,-19.54234091,-15.77775,-36.73136
3.71,-19.489,-15.765,-36.783788
3.72,-19.443,-15.757,-36.827688
3.73,-19.397,-15.749,-36.859042
3.74,-19.351,-15.741,-36.88898
3.75,-19.305,-15.733,-36.91725
3.76,-19.27211111,-15.73366667,-36.964792
3.77,-19.23922222,-15.73433333,-37.030584
3.78,-19.20633333,-15.735,-37.084404
3.79,-19.17344444,-15.73566667,-37.129122
3.8,-19.14643182,-15.74054545,-37.16904
3.81,-19.12529545,-15.74963636,-37.206048
3.82,-19.10415909,-15.75872727,-37.269852
3.83,-19.08302273,-15.76781818,-37.346438
3.84,-19.06317778,-15.77764444,-37.40836
3.85,-19.05495556,-15.79408889,-37.4649
3.86,-19.04673333,-15.81053333,-37.510936
3.87,-19.03851111,-15.82697778,-37.554112
3.88,-19.03028889,-15.84342222,-37.633576
3.89,-19.02886667,-15.86373333,-37.719928
3.9,-19.03197778,-15.88662222,-37.78742
3.91,-19.03508889,-15.90951111,-37.852698
3.92,-19.0382,-15.9324,-37.900896
3.93,-19.04222727,-15.95586364,-37.948364
3.94,-19.0545,-15.9845,-38.041912
3.95,-19.06677273,-16.01313636,-38.13417
3.96,-19.08395455,-16.04381818,-38.205616
3.97,-19.10168182,-16.07472727,-38.274452
3.98,-19.12282609,-16.10652174,-38.322768
3.99,-19.14543478,-16.13869565,-38.379426
4,-19.17063636,-16.17218182,-38.4776
4.01,-19.19972727,-16.20763636,-38.570644
4.02,-19.23,-16.24363636,-38.645688
4.03,-19.265,-16.28181818,-38.713632
4.04,-19.3,-16.32,-38.762976
4.05,-19.33826087,-16.3573913,-38.82779
4.06,-19.37652174,-16.39478261,-38.923908
4.07,-19.41981818,-16.43463636,-39.011512
4.08,-19.46527273,-16.47554545,-39.085528
4.09,-19.51322727,-16.51690909,-39.147566
4.1,-19.56368182,-16.55872727,-39.19434
4.11,-19.61577273,-16.60068182,-39.261942
4.12,-19.67168182,-16.64295455,-39.350864
4.13,-19.72782609,-16.68504348,-39.42907
4.14,-19.78608696,-16.72547826,-39.49846
4.15,-19.84434783,-16.76591304,-39.54956
4.16,-19.90872727,-16.80745455,-39.588624
4.17,-19.97463636,-16.84927273,-39.652362
4.18,-20.04354545,-16.89081818,-39.728948
4.19,-20.11445455,-16.93218182,-39.79309
4.2,-20.18569565,-16.97213043,-39.8522
4.21,-20.25743478,-17.00995652,-39.8857
4.22,-20.32995455,-17.04781818,-39.9114
4.23,-20.4095,-17.086,-39.96453
4.24,-20.48904545,-17.12418182,-40.02364
4.25,-20.57227273,-17.1595,-40.06925
4.26,-20.65590909,-17.1945,-40.11294
4.27,-20.73943478,-17.2266087,-40.122692
4.28,-20.82291304,-17.25747826,-40.129888
4.29,-20.90972727,-17.28654545,-40.154288
4.3,-21.00154545,-17.31290909,-40.17832
4.31,-21.09336364,-17.33927273,-40.186544
4.32,-21.18518182,-17.36563636,-40.195152
4.33,-21.277,-17.392,-40.207488
4.34,-21.37055556,-17.40866667,-40.217012
4.35,-21.46411111,-17.42533333,-40.21033
4.36,-21.55766667,-17.442,-40.203856
4.37,-21.65122222,-17.45866667,-40.198202
4.38,-21.74477778,-17.46955556,-40.188324
4.39,-21.83833333,-17.47466667,-40.166222
4.4,-21.93188889,-17.47977778,-40.14396
4.41,-22.02544444,-17.48488889,-40.121344
4.42,-22.119,-17.49,-40.093652
4.43,-22.20968182,-17.48272727,-40.057158
4.44,-22.30036364,-17.47545455,-40.019584
4.45,-22.39104545,-17.46818182,-39.98052
4.46,-22.48172727,-17.46090909,-39.936576
4.47,-22.5644,-17.44573333,-39.887232
4.48,-22.64173333,-17.42528889,-39.835984
4.49,-22.71906667,-17.40484444,-39.783042
4.5,-22.7964,-17.3844,-39.7259
4.51,-22.87182222,-17.36268889,-39.665762
4.52,-22.93004444,-17.32957778,-39.602672
4.53,-22.98826667,-17.29646667,-39.537908
4.54,-23.04648889,-17.26335556,-39.471364
4.55,-23.10471111,-17.23024444,-39.40403
4.56,-23.14722727,-17.18959091,-39.331704
4.57,-23.17927273,-17.14390909,-39.257688
4.58,-23.21131818,-17.09822727,-39.18532
4.59,-23.24336364,-17.05254545,-39.11336
4.6,-23.26873333,-17.00506667,-39.0348
4.61,-23.2674,-16.9504,-38.95513
4.62,-23.26606667,-16.89573333,-38.880608
4.63,-23.26473333,-16.84106667,-38.806592
4.64,-23.2634,-16.7864,-38.724144
4.65,-23.24327273,-16.72640909,-38.64157
4.66,-23.21509091,-16.66413636,-38.568068
4.67,-23.17882609,-16.60191304,-38.493844
4.68,-23.13447826,-16.53973913,-38.410576
4.69,-23.08636364,-16.47636364,-38.329024
4.7,-23.02318182,-16.40818182,-38.25912
4.71,-22.96,-16.34,-38.187054
4.72,-22.88045455,-16.27045455,-38.105328
4.73,-22.80090909,-16.20090909,-38.027628
4.74,-22.71009091,-16.12990909,-37.962864
4.75,-22.61645455,-16.05854545,-37.89315
4.76,-22.51847826,-15.98852174,-37.811424
4.77,-22.4176087,-15.9193913,-37.73486
4.78,-22.31209091,-15.84931818,-37.66804
4.79,-22.19572727,-15.77704545,-37.601426
4.8,-22.07859091,-15.70481818,-37.53512
4.81,-21.9545,-15.633,-37.471856
4.82,-21.83040909,-15.56118182,-37.412232
4.83,-21.71225,-15.4955,-37.35549
4.84,-21.58536364,-15.427,-37.30152
4.85,-21.45390909,-15.35754545,-37.24871
4.86,-21.32209091,-15.28936364,-37.196796
4.87,-21.19027273,-15.22245455,-37.147426
4.88,-21.05872727,-15.15636364,-37.099624
4.89,-20.93066667,-15.0925,-37.05459
4.9,-20.814,-15.035,-37.0109
4.91,-20.68945455,-14.975,-36.971698
4.92,-20.57063636,-14.91663636,-36.934176
4.93,-20.45609091,-14.85990909,-36.909518
4.94,-20.34754545,-14.80545455,-36.888444
4.95,-20.24554545,-14.75345455,-36.84759
4.96,-20.1535,-14.7055,-36.802872
4.97,-20.06781818,-14.66009091,-36.78884
4.98,-19.98163636,-14.61390909,-36.77856
4.99,-19.9,-14.56863636,-36.743494
5,-19.82,-14.525,-36.707
5.01,-19.74076923,-14.48269231,-36.706486
5.02,-19.66153846,-14.44146154,-36.7046
5.03,-19.584,-14.40242857,-36.6789
5.04,-19.509,-14.366,-36.656784
5.05,-19.42669231,-14.32830769,-36.66398
5.06,-19.348,-14.292,-36.66748
5.07,-19.26157143,-14.25585714,-36.65206
5.08,-19.17468,-14.21976,-36.643248
5.09,-19.09148,-14.18736,-36.658154
5.1,-19.00828,-14.15496,-36.6676
5.11,-18.92556,-14.12472,-36.66246
5.12,-18.84316,-14.09592,-36.666056
5.13,-18.76108,-14.06748,-36.687644
5.14,-18.68188,-14.04228,-36.702764
5.15,-18.60268,-14.01708,-36.70739
5.16,-18.52612,-13.99404,-36.72232
5.17,-18.45132,-13.97244,-36.75059
5.18,-18.37670833,-13.95116667,-36.771804
5.19,-18.30379167,-13.93283333,-36.785682
5.2,-18.230875,-13.9145,-36.81104
5.21,-18.16392,-13.89976,-36.845992
5.22,-18.09952,-13.88656,-36.873552
5.23,-18.03624,-13.87416,-36.896168
5.24,-17.97744,-13.86496,-36.937264
5.25,-17.91864,-13.85576,-36.98815
5.26,-17.86404,-13.84936,-37.034668
5.27,-17.81124,-13.84416,-37.079386
5.28,-17.75972,-13.83984,-37.106072
5.29,-17.71332,-13.83904,-37.127146
5.3,-17.66692,-13.83824,-37.1751
5.31,-17.62383333,-13.840625,-37.22907
5.32,-17.58216667,-13.844375,-37.284384
5.33,-17.5428,-13.84916,-37.339896
5.34,-17.5088,-13.85636,-37.373512
5.35,-17.4748,-13.86356,-37.40538
5.36,-17.44592,-13.87428,-37.46396
5.37,-17.41832,-13.88588,-37.523268
5.38,-17.39264,-13.89856,-37.588032
5.39,-17.37144,-13.91376,-37.65068
5.4,-17.35024,-13.92896,-37.6918
5.41,-17.33416,-13.94736,-37.735954
5.42,-17.31936,-13.96656,-37.798148
5.43,-17.30625,-13.987125,-37.86228
5.44,-17.29708333,-14.010875,-37.93424
5.45,-17.28791667,-14.034625,-38.00022
5.46,-17.28484,-14.06112,-38.048536
5.47,-17.28244,-14.08792,-38.101592
5.48,-17.28273333,-14.11613333,-38.165328
5.49,-17.28706667,-14.14646667,-38.234086
5.5,-17.2914,-14.1768,-38.3117
5.51,-17.2988,-14.2086,-38.378828
5.52,-17.3108,-14.2426,-38.431256
5.53,-17.3228,-14.2766,-38.488766
5.54,-17.338,-14.31272414,-38.551988
5.55,-17.358,-14.35203448,-38.62385
5.56,-17.378,-14.39134483,-38.70352
5.57,-17.40133333,-14.43166667,-38.768588
5.58,-17.428,-14.473,-38.823072
5.59,-17.45466667,-14.51433333,-38.88049
5.6,-17.485,-14.557,-38.9396
5.61,-17.519,-14.601,-39.01287
5.62,-17.553,-14.645,-39.09254
5.63,-17.5905,-14.6905,-39.152346
5.64,-17.6315,-14.7375,-39.205288
5.65,-17.6725,-14.7845,-39.257
5.66,-17.71716667,-14.83233333,-39.3084
5.67,-17.7655,-14.881,-39.381262
5.68,-17.81383333,-14.92966667,-39.457848
5.69,-17.86644828,-14.98003448,-39.507872
5.7,-17.92334483,-15.03210345,-39.55516
5.71,-17.98024138,-15.08417241,-39.593062
5.72,-18.0411,-15.1353,-39.630912
5.73,-18.1046,-15.1858,-39.689508
5.74,-18.1681,-15.2363,-39.74598
5.75,-18.2316,-15.2868,-39.77425
5.76,-18.3008,-15.3373,-39.806232
5.77,-18.3738,-15.3878,-39.864314
5.78,-18.4468,-15.4383,-39.916784
5.79,-18.5198,-15.4888,-39.943512
5.8,-18.59930769,-15.53869231,-39.973
5.81,-18.68315385,-15.58817949,-40.01155
5.82,-18.767,-15.63766667,-40.046252
5.83,-18.85084615,-15.68715385,-40.071438
5.84,-18.93935,-15.73315,-40.093984
5.85,-19.02985,-15.77765,-40.11146
5.86,-19.12035,-15.82215,-40.130772
5.87,-19.21085,-15.86665,-40.152874
5.88,-19.3066,-15.9073,-40.16268
5.89,-19.4046,-15.9463,-40.15754
5.9,-19.5026,-15.9853,-40.16514
5.91,-19.6006,-16.0243,-40.185186
5.92,-19.70520513,-16.05825641,-40.18536
5.93,-19.81264103,-16.09005128,-40.16994
5.94,-19.92007692,-16.12184615,-40.166844
5.95,-20.02751282,-16.15364103,-40.17147
5.96,-20.1366,-16.1774,-40.161304
5.97,-20.2461,-16.19915,-40.143828
5.98,-20.3556,-16.2209,-40.126724
5.99,-20.4651,-16.24265,-40.109762
6,-20.5764,-16.256,-40.0908
6.01,-20.68815,-16.26725,-40.071268
6.02,-20.7999,-16.2785,-40.036328
6.03,-20.91165,-16.28975,-39.998292
6.04,-21.02507692,-16.29158974,-39.977128
6.05,-21.13892308,-16.29107692,-39.95811
