Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_4 []"
0,-254.372,-255.281,-256.245,-261.951,-254.474
0.019723866,-55.07,-55.796,-56.414,-61.822,-55.11
0.039447732,-49.062,-49.789,-50.406,-55.816,-49.1
0.059171598,-45.562,-46.289,-46.906,-52.32,-45.598
0.078895464,-43.092,-43.819,-44.437,-49.854,-43.125
0.098619329,-41.191,-41.919,-42.537,-47.96,-41.221
0.118343195,-39.656,-40.385,-41.003,-46.433,-39.682
0.138067061,-38.378,-39.107,-39.725,-45.164,-38.399
0.157790927,-37.277,-38.007,-38.626,-44.072,-37.294
0.177514793,-36.322,-37.053,-37.672,-43.127,-36.334
0.197238659,-35.478,-36.211,-36.83,-42.293,-35.486
0.216962525,-34.766,-35.5,-36.12,-41.596,-34.77
0.236686391,-34.091,-34.826,-35.447,-40.93,-34.091
0.256410256,-33.491,-34.227,-34.85,-40.34,-33.488
0.276134122,-32.964,-33.702,-34.326,-39.823,-32.958
0.295857988,-32.449,-33.188,-33.814,-39.313,-32.441
0.315581854,-32.032,-32.773,-33.401,-38.909,-32.022
0.33530572,-31.622,-32.365,-32.995,-38.507,-31.611
0.355029586,-31.251,-31.995,-32.628,-38.148,-31.239
0.374753452,-30.931,-31.676,-32.312,-37.847,-30.918
0.394477318,-30.604,-31.35,-31.989,-37.534,-30.59
0.414201183,-30.349,-31.097,-31.739,-37.307,-30.337
0.433925049,-30.094,-30.843,-31.488,-37.077,-30.081
0.453648915,-29.86,-30.61,-31.258,-36.868,-29.849
0.473372781,-29.668,-30.419,-31.07,-36.706,-29.658
0.493096647,-29.462,-30.215,-30.868,-36.526,-29.454
0.512820513,-29.315,-30.068,-30.721,-36.41,-29.308
0.532544379,-29.164,-29.918,-30.571,-36.288,-29.16
0.552268245,-29.025,-29.78,-30.432,-36.177,-29.024
0.571992111,-28.924,-29.679,-30.329,-36.108,-28.925
0.591715976,-28.807,-29.563,-30.211,-36.019,-28.812
0.611439842,-28.726,-29.482,-30.129,-35.968,-28.733
0.631163708,-28.654,-29.41,-30.057,-35.926,-28.664
0.650887574,-28.597,-29.354,-30.002,-35.9,-28.611
0.67061144,-28.56,-29.318,-29.97,-35.896,-28.577
0.690335306,-28.529,-29.289,-29.944,-35.896,-28.549
0.710059172,-28.514,-29.276,-29.935,-35.913,-28.536
0.729783038,-28.529,-29.293,-29.953,-35.959,-28.55
0.749506903,-28.541,-29.308,-29.968,-35.999,-28.56
0.769230769,-28.575,-29.343,-30.001,-36.058,-28.589
0.788954635,-28.629,-29.397,-30.05,-36.134,-28.634
0.808678501,-28.687,-29.454,-30.1,-36.21,-28.682
0.828402367,-28.784,-29.546,-30.183,-36.323,-28.768
0.848126233,-28.867,-29.622,-30.25,-36.416,-28.839
0.867850099,-29.001,-29.749,-30.368,-36.568,-28.978
0.887573965,-29.121,-29.861,-30.471,-36.7,-29.104
0.90729783,-29.271,-30.005,-30.607,-36.871,-29.279
0.927021696,-29.424,-30.152,-30.748,-37.045,-29.465
0.946745562,-29.59,-30.315,-30.905,-37.238,-29.664
0.966469428,-29.776,-30.499,-31.086,-37.458,-29.879
0.986193294,-29.96,-30.683,-31.266,-37.675,-30.087
1.00591716,-30.185,-30.908,-31.491,-37.945,-30.319
1.025641026,-30.395,-31.12,-31.701,-38.195,-30.533
1.045364892,-30.661,-31.388,-31.97,-38.517,-30.796
1.065088757,-30.919,-31.648,-32.232,-38.825,-31.048
1.084812623,-31.217,-31.95,-32.536,-39.184,-31.34
1.104536489,-31.531,-32.266,-32.856,-39.56,-31.648
1.124260355,-31.868,-32.607,-33.201,-39.961,-31.978
1.143984221,-32.248,-32.99,-33.59,-40.415,-32.354
1.163708087,-32.631,-33.378,-33.983,-40.864,-32.732
1.183431953,-33.09,-33.841,-34.454,-41.409,-33.188
1.203155819,-33.543,-34.299,-34.92,-41.927,-33.637
1.222879684,-34.087,-34.848,-35.479,-42.559,-34.179
1.24260355,-34.644,-35.41,-36.052,-43.176,-34.733
1.262327416,-35.276,-36.048,-36.703,-43.866,-35.362
1.282051282,-35.964,-36.743,-37.413,-44.577,-36.046
1.301775148,-36.708,-37.494,-38.179,-45.28,-36.784
1.321499014,-37.565,-38.359,-39.063,-46.03,-37.634
