Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_4 []"
0,-254.937,-257.936,-255.135,-251.397,-269.198
0.019455253,-55.266,-58.77,-55.966,-52.228,-68.92
0.038910506,-49.253,-52.759,-49.958,-46.22,-62.914
0.058365759,-45.746,-49.252,-46.455,-42.717,-59.416
0.077821012,-43.271,-46.776,-43.984,-40.246,-56.954
0.097276265,-41.364,-44.865,-42.081,-38.343,-55.061
0.116731518,-39.818,-43.312,-40.537,-36.799,-53.53
0.13618677,-38.532,-42.015,-39.254,-35.516,-52.267
0.155642023,-37.431,-40.901,-38.154,-34.416,-51.191
0.175097276,-36.462,-39.92,-37.186,-33.448,-50.244
0.194552529,-35.622,-39.062,-36.347,-32.609,-49.439
0.214007782,-34.869,-38.291,-35.595,-31.857,-48.721
0.233463035,-34.194,-37.596,-34.92,-31.182,-48.083
0.252918288,-33.621,-36.993,-34.348,-30.61,-47.57
0.272373541,-33.082,-36.428,-33.81,-30.072,-47.083
0.291828794,-32.557,-35.885,-33.285,-29.547,-46.594
0.311284047,-32.126,-35.422,-32.855,-29.117,-46.225
0.3307393,-31.727,-34.991,-32.457,-28.719,-45.889
0.350194553,-31.327,-34.567,-32.059,-28.321,-45.538
0.369649805,-31,-34.205,-31.732,-27.994,-45.278
0.389105058,-30.703,-33.871,-31.437,-27.699,-45.052
0.408560311,-30.397,-33.536,-31.133,-27.395,-44.804
0.428015564,-30.148,-33.249,-30.885,-27.147,-44.625
0.447470817,-29.929,-32.99,-30.669,-26.931,-44.484
0.46692607,-29.699,-32.725,-30.44,-26.702,-44.318
0.486381323,-29.511,-32.497,-30.254,-26.516,-44.204
0.505836576,-29.356,-32.298,-30.102,-26.364,-44.13
0.525291829,-29.186,-32.09,-29.935,-26.197,-44.031
0.544747082,-29.048,-31.91,-29.8,-26.062,-43.97
0.564202335,-28.946,-31.761,-29.701,-25.963,-43.952
0.583657588,-28.828,-31.602,-29.586,-25.848,-43.911
0.603112841,-28.732,-31.463,-29.494,-25.756,-43.894
0.622568093,-28.673,-31.358,-29.44,-25.702,-43.926
0.642023346,-28.599,-31.241,-29.369,-25.631,-43.935
0.661478599,-28.537,-31.139,-29.313,-25.575,-43.959
0.680933852,-28.512,-31.074,-29.297,-25.559,-44.035
0.700389105,-28.471,-30.996,-29.264,-25.526,-44.089
0.719844358,-28.428,-30.922,-29.232,-25.494,-44.143
0.739299611,-28.404,-30.875,-29.226,-25.488,-44.235
0.758754864,-28.369,-30.845,-29.226,-25.488,-44.346
0.778210117,-28.3,-30.82,-29.223,-25.485,-44.46
