Freq [GHz],"dB(St(P1,P3)) []","dB(St(P1,P3))_2 []","dB(St(P1,P4))_4 []"
5.96,-22.2566,-18.3074,-43.173304
5.97,-22.3661,-18.32915,-43.155828
5.98,-22.4756,-18.3509,-43.138724
5.99,-22.5851,-18.37265,-43.121762
6,-22.6964,-18.386,-43.1028
6.01,-22.80815,-18.39725,-43.083268
6.02,-22.9199,-18.4085,-43.048328
6.03,-23.03165,-18.41975,-43.010292
6.04,-23.14507692,-18.42158974,-42.989128
6.05,-23.25892308,-18.42107692,-42.97011
6.06,-23.37276923,-18.4205641,-42.918664
6.07,-23.48661538,-18.42005128,-42.865208
6.08,-23.59295,-18.408975,-42.844008
6.09,-23.69845,-18.396725,-42.821426
6.1,-23.80395,-18.384475,-42.77054
6.11,-23.90945,-18.372225,-42.721058
6.12,-24.004825,-18.349625,-42.683536
6.13,-24.099075,-18.325875,-42.644702
6.14,-24.193325,-18.302125,-42.598956
6.15,-24.287575,-18.278375,-42.55167
6.16,-24.36761538,-18.24461538,-42.498728
6.17,-24.44607692,-18.20974359,-42.449926
6.18,-24.52453846,-18.17487179,-42.412404
6.19,-24.603,-18.14,-42.36542
6.2,-24.65833333,-18.098,-42.2986
6.21,-24.71366667,-18.056,-42.246718
6.22,-24.769,-18.014,-42.219476
6.23,-24.803,-17.96666667,-42.178026
6.24,-24.837,-17.91933333,-42.117888
6.25,-24.871,-17.872,-42.07025
6.26,-24.881,-17.82,-42.035812
6.27,-24.891,-17.768,-41.994146
6.28,-24.901,-17.716,-41.946344
6.29,-24.88666667,-17.661,-41.90099
6.3,-24.87233333,-17.606,-41.8573
6.31,-24.858,-17.551,-41.82029
6.32,-24.81834483,-17.49168966,-41.78688
6.33,-24.77868966,-17.43237931,-41.740438
6.34,-24.73703333,-17.37316667,-41.688524
6.35,-24.67736667,-17.31483333,-41.66118
6.36,-24.6177,-17.2565,-41.641648
6.37,-24.55623333,-17.1982,-41.59829
6.38,-24.47856667,-17.1402,-41.54946
6.39,-24.4009,-17.0822,-41.530512
6.4,-24.32186667,-17.02426667,-41.51612
6.41,-24.23053333,-16.96693333,-41.48419
6.42,-24.1392,-16.9096,-41.45078
6.43,-24.04651724,-16.85227586,-41.42992
6.44,-23.94168966,-16.79503448,-41.409424
6.45,-23.83686207,-16.7377931,-41.39092
6.46,-23.73166667,-16.68146667,-41.371756
6.47,-23.625,-16.6288,-41.345542
6.48,-23.51833333,-16.57613333,-41.322496
6.49,-23.41126667,-16.52413333,-41.318898
6.5,-23.3026,-16.4748,-41.31
6.51,-23.19393333,-16.42546667,-41.27916
6.52,-23.08533333,-16.37686667,-41.258304
6.53,-22.977,-16.3312,-41.267556
6.54,-22.86866667,-16.28553333,-41.269164
6.55,-22.759,-16.23971429,-41.25323
6.56,-22.644,-16.19328571,-41.24392
6.57,-22.5362,-16.15146667,-41.24649
6.58,-22.4304,-16.1112,-41.247152
6.59,-22.32506667,-16.07186667,-41.245096
6.6,-22.2208,-16.03413333,-41.23992
6.61,-22.1168,-15.9974,-41.231182
6.62,-22.0128,-15.96206667,-41.22834
6.63,-21.90933333,-15.92833333,-41.23091
6.64,-21.806,-15.8954,-41.234664
6.65,-21.70266667,-15.8634,-41.23929
6.66,-21.59933333,-15.833,-41.24586
6.67,-21.4962,-15.8034,-41.25357
6.68,-21.39353333,-15.77473333,-41.264448
6.69,-21.285,-15.74614286,-41.276784
6.7,-21.1782,-15.71913333,-41.28798
6.71,-21.0762,-15.69446667,-41.298774
6.72,-20.9748,-15.6716,-41.31324
6.73,-20.874,-15.64946667,-41.32866
6.74,-20.774,-15.62813333,-41.349312
6.75,-20.6764,-15.6092,-41.3709
6.76,-20.57986667,-15.59133333,-41.390632
6.77,-20.48453333,-15.57466667,-41.410164
6.78,-20.3916,-15.5604,-41.434616
6.79,-20.29986207,-15.54772414,-41.459432
6.8,-20.20951724,-15.53703448,-41.49644
6.81,-20.11917241,-15.52634483,-41.53185
6.82,-20.03416667,-15.51833333,-41.5447
6.83,-19.9545,-15.513,-41.561518
6.84,-19.87483333,-15.50766667,-41.607264
6.85,-19.7995,-15.505,-41.64959
6.86,-19.7285,-15.505,-41.675804
6.87,-19.6575,-15.505,-41.705558
6.88,-19.591,-15.508,-41.747192
6.89,-19.529,-15.514,-41.78868
6.9,-19.467,-15.52,-41.8298
6.91,-19.4094,-15.5284,-41.869702
6.92,-19.3562,-15.5392,-41.907224
6.93,-19.303,-15.55,-41.952422
6.94,-19.25508333,-15.56625,-42.009476
6.95,-19.20716667,-15.5825,-42.05618
6.96,-19.1652,-15.60124,-42.090104
6.97,-19.1272,-15.62164,-42.143636
6.98,-19.09,-15.64252,-42.216624
6.99,-19.06,-15.66772,-42.275884
7,-19.03,-15.69292,-42.3242
7.01,-19.00456,-15.721,-42.38696
7.02,-18.98216,-15.751,-42.45892
7.03,-18.96048,-15.78148,-42.526434
7.04,-18.94528,-15.81628,-42.591712
7.05,-18.93008,-15.85108,-42.65995
7.06,-18.9195,-15.8895,-42.72934
7.07,-18.912,-15.93033333,-42.809078
7.08,-18.90608,-15.97172,-42.891832
7.09,-18.90648,-16.01532,-42.96138
7.1,-18.90688,-16.05892,-43.0282
7.11,-18.9112,-16.1049,-43.122714
7.12,-18.9193,-16.1533,-43.220888
7.13,-18.9297,-16.2037,-43.297372
7.14,-18.9435,-16.2554,-43.372416
7.15,-18.9627,-16.30973333,-43.43726
7.16,-18.9837,-16.36506667,-43.502144
7.17,-19.0047,-16.4204,-43.569478
7.18,-19.03272414,-16.48068966,-43.63702
7.19,-19.06375862,-16.54310345,-43.70641
7.2,-19.0947931,-16.60551724,-43.77212
7.21,-19.1322,-16.67,-43.817866
7.22,-19.1712,-16.735,-43.868688
7.23,-19.2102,-16.8,-43.938592
7.24,-19.25666667,-16.86793333,-44.002784
7.25,-19.305,-16.9366,-44.0511
7.26,-19.35333333,-17.00526667,-44.103188
7.27,-19.40913333,-17.07686667,-44.163326
7.28,-19.4668,-17.1492,-44.21732
7.29,-19.52446667,-17.22153333,-44.26101
7.3,-19.59172414,-17.2977931,-44.30844
7.31,-19.66137931,-17.37503448,-44.360868
7.32,-19.73103448,-17.45227586,-44.405856
7.33,-19.8073,-17.529,-44.442864
7.34,-19.8843,-17.60566667,-44.483184
7.35,-19.9613,-17.68233333,-44.52636
7.36,-20.047,-17.7599,-44.561632
7.37,-20.13366667,-17.83756667,-44.591444
7.38,-20.22033333,-17.91523333,-44.619928
7.39,-20.3163,-17.992,-44.647684
7.4,-20.4133,-18.06866667,-44.66824
7.41,-20.5103,-18.14533333,-44.685716
7.42,-20.61962069,-18.22282759,-44.708624
7.43,-20.73031034,-18.30041379,-44.733296
7.44,-20.841,-18.378,-44.750896
7.45,-20.959,-18.449,-44.76683
7.46,-21.077,-18.52,-44.769888
7.47,-21.195,-18.591,-44.770916
7.48,-21.32366667,-18.65633333,-44.782328
7.49,-21.45233333,-18.72166667,-44.794664
7.5,-21.581,-18.787,-44.789
7.51,-21.721,-18.845,-44.782832
7.52,-21.861,-18.903,-44.776664
7.53,-22.001,-18.961,-44.770496
7.54,-22.15233333,-19.00966667,-44.764328
7.55,-22.30366667,-19.05833333,-44.75746
7.56,-22.455,-19.107,-44.746152
7.57,-22.62327586,-19.14562069,-44.73406
7.58,-22.79155172,-19.18424138,-44.71864
7.59,-22.96036667,-19.22143333,-44.703094
7.6,-23.13403333,-19.24576667,-44.68716
7.61,-23.3077,-19.2701,-44.673998
7.62,-23.48225,-19.2933,-44.667316
7.63,-23.66475,-19.3063,-44.658632
7.64,-23.8479,-19.31835,-44.646296
7.65,-24.0369,-19.32185,-44.62934
7.66,-24.2265,-19.3244,-44.605696
7.67,-24.4215,-19.3184,-44.588954
7.68,-24.61794737,-19.31136842,-44.580216
7.69,-24.82742105,-19.29505263,-44.564562
7.7,-25.0354,-19.27688,-44.54246
7.71,-25.2374,-19.25128,-44.531236
7.72,-25.4394,-19.22568,-44.528152
7.73,-25.6414,-19.19224,-44.514442
7.74,-25.8434,-19.15544,-44.494396
7.75,-26.04428,-19.11672,-44.488
7.76,-26.24068,-19.07032,-44.488
7.77,-26.43708,-19.02392,-44.471368
7.78,-26.6248,-18.97136,-44.448752
7.79,-26.8088,-18.91616,-44.434662
7.8,-26.99,-18.85891667,-44.42284
7.81,-27.16,-18.7935,-44.40798
7.82,-27.33,-18.72808333,-44.39256
7.83,-27.47024,-18.66028,-44.373906
7.84,-27.60304,-18.59188,-44.354888
7.85,-27.7236,-18.52192,-44.33342
7.86,-27.8156,-18.44832,-44.311864
7.87,-27.9076,-18.37472,-44.294388
7.88,-27.9612,-18.29888,-44.275952
7.89,-28.0052,-18.22248,-44.243056
7.9,-28.0336,-18.14536,-44.2116
7.91,-28.0256,-18.06656,-44.19104
7.92,-28.0176,-17.98776,-44.168896
7.93,-27.96666667,-17.90533333,-44.139084
7.94,-27.905,-17.822,-44.111708
7.95,-27.82608,-17.74016,-44.09269
7.96,-27.72128,-17.66056,-44.072808
7.97,-27.61648,-17.58096,-44.050706
7.98,-27.47856,-17.50172,-44.031184
7.99,-27.33696,-17.42252,-44.016792
8,-27.18464,-17.34412,-44.0004
8.01,-27.01624,-17.26692,-43.980868
8.02,-26.84784,-17.18972,-43.966808
8.03,-26.6636,-17.11432,-43.959612
8.04,-26.4776,-17.03912,-43.954976
8.05,-26.2845,-16.96383333,-43.95292
8.06,-26.08075,-16.88841667,-43.953704
8.07,-25.877,-16.813,-43.956788
8.08,-25.6782,-16.7438,-43.962992
8.09,-25.4794,-16.6746,-43.971216
8.1,-25.28166667,-16.60738095,-43.98284
8.11,-25.085,-16.54214286,-43.996204
8.12,-24.88947619,-16.4782381,-44.013616
8.13,-24.69566667,-16.41633333,-44.032634
8.14,-24.50045,-16.3544,-44.056008
8.15,-24.30195,-16.2924,-44.08068
8.16,-24.108,-16.23228571,-44.114256
8.17,-23.92466667,-16.17657143,-44.149722
8.18,-23.74247619,-16.12161905,-44.1879
8.19,-23.56485714,-16.06971429,-44.22645
8.2,-23.387,-16.0179,-44.26884
8.21,-23.207,-15.9669,-44.311502
8.22,-23.02852381,-15.91652381,-44.358736
8.23,-22.8637619,-15.8717619,-44.406838
8.24,-22.699,-15.827,-44.473144
8.25,-22.54090476,-15.78557143,-44.5404
8.26,-22.38280952,-15.74414286,-44.616472
8.27,-22.223,-15.70445,-44.69426
8.28,-22.063,-15.66495,-44.78164
8.29,-21.91585714,-15.63014286,-44.8722
8.3,-21.77014286,-15.59585714,-44.975
8.31,-21.629,-15.56461905,-45.0845
8.32,-21.489,-15.53414286,-45.213
8.33,-21.34865,-15.50575,-45.35365
8.34,-21.20815,-15.47825,-45.5207
8.35,-21.07666667,-15.454,-45.69098
8.36,-20.94904762,-15.43114286,-45.866768
8.37,-20.82514286,-15.41057143,-46.032746
8.38,-20.70371429,-15.39152381,-46.185404
8.39,-20.5825,-15.37425,-46.310018
8.4,-20.4615,-15.35875,-46.40408
8.41,-20.34647619,-15.34552381,-46.441698
8.42,-20.23742857,-15.33457143,-46.429876
8.43,-20.129,-15.32525,-46.390874
8.44,-20.0215,-15.318375,-46.332792
8.45,-19.92329412,-15.31370588,-46.22785
8.46,-19.82794118,-15.31,-46.09678
8.47,-19.73735294,-15.31,-45.984684
8.48,-19.64725,-15.3115,-45.880856
8.49,-19.557875,-15.31525,-45.889354
8.5,-19.476,-15.3216,-45.9351
8.51,-19.396,-15.3286,-45.996578
8.52,-19.322,-15.3396,-46.061856
8.53,-19.2495,-15.3516,-46.12846
8.54,-19.183,-15.3668,-46.19528
8.55,-19.118,-15.3828,-46.2668
8.56,-19.05657895,-15.40326316,-46.33876
8.57,-18.99605263,-15.42484211,-46.411716
8.58,-18.94572,-15.4504,-46.484704
8.59,-18.89652,-15.4764,-46.557692
8.6,-18.851,-15.50464,-46.63088
8.61,-18.811,-15.53624,-46.706438
8.62,-18.771,-15.56784,-46.78186
8.63,-18.73928,-15.60448,-46.85639
8.64,-18.70848,-15.64168,-46.931304
8.65,-18.68136,-15.68144,-47.00789
8.66,-18.65976,-15.72504,-47.084228
8.67,-18.63816,-15.76864,-47.159786
8.68,-18.62475,-15.819125,-47.23504
8.69,-18.61225,-15.870375,-47.30957
8.7,-18.6044,-15.9236,-47.38518
8.71,-18.6012,-15.9788,-47.462794
8.72,-18.598,-16.034,-47.536248
8.73,-18.6044,-16.0956,-47.603582
8.74,-18.6108,-16.1572,-47.673748
8.75,-18.6216,-16.2216,-47.74725
8.76,-18.6368,-16.2888,-47.818376
8.77,-18.652,-16.356,-47.887252
8.78,-18.6768,-16.4292,-47.953208
8.79,-18.7016,-16.5024,-48.016944
8.8,-18.73170833,-16.58004167,-48.0794
8.81,-18.767125,-16.662125,-48.14108
8.82,-18.80332,-16.74444,-48.213548
8.83,-18.84652,-16.82884,-48.291162
8.84,-18.88972,-16.91324,-48.339072
8.85,-18.93868,-17.00076,-48.37608
8.86,-18.99148,-17.09036,-48.428036
8.87,-19.04524,-17.18048,-48.484062
8.88,-19.10764,-17.27528,-48.533608
8.89,-19.17004,-17.37008,-48.581924
8.9,-19.23844,-17.46752,-48.59896
8.91,-19.31084,-17.56672,-48.612324
8.92,-19.384625,-17.66666667,-48.672536
8.93,-19.470875,-17.77333333,-48.735062
8.94,-19.557125,-17.88,-48.750996
8.95,-19.64796,-17.9862,-48.76795
8.96,-19.74076,-18.0922,-48.80136
8.97,-19.83692,-18.19852,-48.835524
8.98,-19.94652,-18.30612,-48.875616
8.99,-20.05612,-18.41372,-48.907538
9,-20.16572,-18.52132,-48.8988
9.01,-20.27532,-18.62892,-48.901462
9.02,-20.39022449,-18.73638776,-48.944124
9.03,-20.52634694,-18.84332653,-48.98636
9.04,-20.66246939,-18.95026531,-49.02748
9.05,-20.79859184,-19.05720408,-49.05789
9.06,-20.93471429,-19.16414286,-49.066628
9.07,-21.07794,-19.2672,-49.062496
9.08,-21.23774,-19.3612,-49.037824
9.09,-21.39754,-19.4552,-49.007502
9.1,-21.55734,-19.5492,-48.96998
9.11,-21.71714,-19.6432,-48.932458
9.12,-21.886,-19.73066,-48.894936
9.13,-22.076,-19.80286,-48.85967
9.14,-22.266,-19.87506,-48.82626
9.15,-22.456,-19.94726,-48.79471
9.16,-22.646,-20.01946,-48.764384
9.17,-22.846375,-20.085375,-48.732368
9.18,-23.07095833,-20.136625,-48.699472
9.19,-23.29554167,-20.187875,-48.672798
9.2,-23.5286,-20.22108,-48.64864
9.21,-23.7626,-20.25228,-48.624876
9.22,-24.0046,-20.27548,-48.601232
9.23,-24.2586,-20.28668,-48.580542
9.24,-24.5126,-20.29788,-48.560496
9.25,-24.78568,-20.29072,-48.54405
9.26,-25.06088,-20.28152,-48.528116
9.27,-25.34456,-20.264,-48.51744
9.28,-25.64096,-20.234,-48.50716
9.29,-25.93736,-20.204,-48.499916
9.3,-26.26475,-20.15525,-48.49284
9.31,-26.59558333,-20.10441667,-48.488728
9.32,-26.9286,-20.0456,-48.485624
9.33,-27.2638,-19.9788,-48.492306
9.34,-27.599,-19.912,-48.4999
9.35,-27.9454,-19.8304,-48.51275
9.36,-28.2918,-19.7488,-48.526848
9.37,-28.6282,-19.6586,-48.545866
9.38,-28.9546,-19.5598,-48.568184
9.39,-29.281,-19.461,-48.600052
9.4,-29.6074,-19.3622,-48.63224
9.41,-29.9338,-19.2634,-48.665136
9.42,-30.19036735,-19.15644898,-48.696716
9.43,-30.37710204,-19.04134694,-48.726014
9.44,-30.56383673,-18.9262449,-48.755096
9.45,-30.75057143,-18.81114286,-48.78388
9.46,-30.93730612,-18.69604082,-48.808272
9.47,-30.95608,-18.57932,-48.827804
9.48,-30.86288,-18.46152,-48.848152
9.49,-30.76968,-18.34372,-48.869226
9.5,-30.67648,-18.22592,-48.8888
9.51,-30.58328,-18.10812,-48.907304
9.52,-30.35804082,-17.98985714,-48.939584
9.53,-30.04477551,-17.87128571,-48.979676
9.54,-29.7315102,-17.75271429,-49.0098
9.55,-29.4182449,-17.63414286,-49.0355
9.56,-29.10497959,-17.51557143,-49.086544
9.57,-28.75508,-17.4016,-49.146168
9.58,-28.38948,-17.2896,-49.191372
9.59,-28.02348,-17.1784,-49.233006
9.6,-27.65588,-17.0704,-49.28872
9.61,-27.28828,-16.9624,-49.346802
9.62,-26.92908,-16.85748,-49.408628
9.63,-26.57348,-16.75388,-49.470822
9.64,-26.22148,-16.65124,-49.541448
9.65,-25.88388,-16.55244,-49.61243
9.66,-25.54628,-16.45364,-49.685932
9.67,-25.22352,-16.35848,-49.759738
9.68,-24.90712,-16.26488,-49.837352
9.69,-24.5925,-16.17158333,-49.915758
9.7,-24.285,-16.0795,-49.99954
9.71,-23.9775,-15.98741667,-50.08492
9.72,-23.69616,-15.90276,-50.17744
9.73,-23.42136,-15.81996,-50.271546
9.74,-23.15244,-15.73896,-50.370748
9.75,-22.89724,-15.66216,-50.47325
9.76,-22.64204,-15.58536,-50.58376
9.77,-22.40124,-15.51304,-50.699432
9.78,-22.16404,-15.44184,-50.824848
9.79,-21.93188,-15.37232,-50.960152
9.8,-21.71148,-15.30672,-51.11024
9.81,-21.49108,-15.24112,-51.27624
9.82,-21.27666667,-15.178,-51.46128
9.83,-21.06375,-15.1155,-51.67042399
9.84,-20.85984,-15.0564,-51.90275199
9.85,-20.66944,-15.0024,-52.16262999
9.86,-20.47904,-14.9484,-52.44378799
9.87,-20.30124,-14.89944,-52.730988
9.88,-20.12484,-14.85104,-53.02191201
9.89,-19.9534,-14.80488,-53.28135001
9.9,-19.7894,-14.76208,-53.52550001
9.91,-19.6254,-14.71928,-53.71317601
9.92,-19.47256,-14.68188,-53.87971201
9.93,-19.32096,-14.64508,-53.993184
9.94,-19.1715,-14.61,-54.091872
9.95,-19.02525,-14.5775,-54.16046
9.96,-18.879,-14.545,-54.223168
9.97,-18.746,-14.517,-54.270762
9.98,-18.617,-14.493,-54.316508
9.99,-18.493,-14.47,
10,-18.373,-14.45,
10,-18.373,-14.45,
