Freq [GHz],"dB(St(P1,P3)) []","dB(St(P1,P3))_2 []","dB(St(P1,P4))_4 []"
1.31,-30.93613636,-35.13902273,-52.801692
1.32,-31.26022727,-35.36970455,-52.821224
1.33,-31.58431818,-35.60038636,-52.774872
1.34,-31.91604444,-35.81388889,-52.700856
1.35,-32.31648889,-35.87277778,-52.51022999
1.36,-32.71693333,-35.93166667,-52.28252799
1.37,-33.11737778,-35.99055556,-52.06611199
1.38,-33.51782222,-36.04944444,-51.852288
1.39,-33.99266667,-35.96646667,-51.597432
1.4,-34.51711111,-35.78891111,-51.33632
1.41,-35.04155556,-35.61135556,-50.990362
1.42,-35.566,-35.4338,-50.637244
1.43,-36.10813793,-35.24027586,-50.309226
1.44,-36.80951724,-34.90303448,-49.981776
1.45,-37.51089655,-34.5657931,-49.65333
1.46,-38.24213333,-34.22,-49.323916
1.47,-39.0928,-33.84,-48.98416201
1.48,-39.94346667,-33.46,-48.64959201
1.49,-40.827,-33.07786667,-48.34684601
1.5,-41.842,-32.6872,-48.03820001
1.51,-42.857,-32.29653333,-47.70512801
1.52,-43.81293333,-31.90846667,-47.38856801
1.53,-44.5326,-31.5308,-47.12180201
1.54,-45.25226667,-31.15313333,-46.84723601
1.55,-45.788,-30.77913333,-46.55477
1.56,-45.588,-30.4198,-46.27647199
1.57,-44.9375,-30.0535,-46.02358399
1.58,-44.0394,-29.6966,-45.77133199
1.59,-43.01406667,-29.3686,-45.51998599
1.6,-41.97753333,-29.05553333,-45.26911999
1.61,-40.9665,-28.7565,-45.01880199
1.62,-39.9475,-28.464,-44.784832
1.63,-38.924,-28.20075,-44.565868
1.64,-37.88325,-28.0185,-44.355192
1.65,-36.38,-27.878,-44.15062
1.66,-34.67975,-26.52775,-43.954472
1.67,-33.889,-26.712,-43.763264
1.68,-33.737,-26.563,-43.581208
1.69,-33.53925,-26.35425,-43.403364
1.7,-33.239,-26.135,-43.23464
1.71,-32.89085714,-25.91871429,-43.069132
1.72,-32.53685714,-25.716,-42.913416
1.73,-32.14746667,-25.50373333,-42.760244
1.74,-31.77613333,-25.30306667,-42.6171
1.75,-31.4162,-25.1108,-42.47575
1.76,-31.06446667,-24.92293333,-42.34460801
1.77,-30.72313333,-24.74026667,-42.21456601
1.78,-30.3986,-24.566,-42.095348
1.79,-30.08548,-24.39736,-41.97673399
1.8,-29.78668,-24.23576,-41.86828
1.81,-29.48788,-24.07416,-41.76054
1.82,-29.204875,-23.919625,-41.66288
1.83,-28.923625,-23.765875,-41.566398
1.84,-28.661,-23.622,-41.478504
1.85,-28.417,-23.488,-41.39223
1.86,-28.173,-23.354,-41.313588
1.87,-27.9522,-23.2324,-41.238132
1.88,-27.7314,-23.1108,-41.173368
1.89,-27.5212,-22.9954,-41.109918
1.9,-27.3216,-22.8862,-41.04978
