Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_3 []"
1.91321499,-22.409,-21.845,-22.033,-22.8476,-23.833
1.932938856,-22.5,-21.918,-22.25,-22.8946,-23.88
1.952662722,-22.539,-21.948,-22.346,-23.0156,-24.001
1.972386588,-22.553,-21.957,-22.389,-23.3006,-24.286
1.992110454,-22.555,-21.957,-22.408,-24.0706,-25.056
2.01183432,-22.551,-21.951,-22.414,-25.5836,-26.569
2.031558185,-22.544,-21.944,-22.415,-20.2826,-21.268
2.051282051,-22.538,-21.937,-22.414,-20.8626,-21.848
2.071005917,-22.534,-21.932,-22.413,-21.2036,-22.189
2.090729783,-22.532,-21.929,-22.413,-21.3856,-22.371
2.110453649,-22.532,-21.928,-22.415,-21.4946,-22.48
2.130177515,-22.535,-21.93,-22.419,-21.5676,-22.553
2.149901381,-22.547,-21.942,-22.433,-21.6256,-22.611
2.169625247,-22.569,-21.963,-22.455,-21.6786,-22.664
2.189349112,-22.573,-21.967,-22.461,-21.7126,-22.698
2.209072978,-22.581,-21.974,-22.469,-21.7436,-22.729
2.228796844,-22.611,-22.002,-22.499,-21.7876,-22.773
2.24852071,-22.625,-22.015,-22.513,-21.8146,-22.8
2.268244576,-22.64,-22.029,-22.528,-21.8416,-22.827
2.287968442,-22.676,-22.065,-22.564,-21.8866,-22.872
2.307692308,-22.698,-22.085,-22.585,-21.9156,-22.901
2.327416174,-22.72,-22.106,-22.606,-21.9436,-22.929
2.347140039,-22.761,-22.146,-22.646,-21.9896,-22.975
2.366863905,-22.789,-22.172,-22.672,-22.0226,-23.008
2.386587771,-22.816,-22.197,-22.697,-22.0526,-23.038
2.406311637,-22.859,-22.24,-22.738,-22.0976,-23.083
2.426035503,-22.891,-22.27,-22.768,-22.1316,-23.117
2.445759369,-22.92,-22.298,-22.794,-22.1616,-23.147
2.465483235,-22.965,-22.342,-22.836,-22.2056,-23.191
2.485207101,-22.998,-22.374,-22.867,-22.2386,-23.224
2.504930966,-23.028,-22.403,-22.894,-22.2666,-23.252
2.524654832,-23.072,-22.448,-22.936,-22.3046,-23.29
2.544378698,-23.106,-22.482,-22.967,-22.3336,-23.319
2.564102564,-23.138,-22.514,-22.995,-22.3566,-23.342
2.58382643,-23.186,-22.564,-23.039,-22.3876,-23.373
2.603550296,-23.224,-22.605,-23.073,-22.4086,-23.394
2.623274162,-23.259,-22.644,-23.103,-22.4236,-23.409
2.642998028,-23.313,-22.705,-23.148,-22.4396,-23.425
2.662721893,-23.384,-22.789,-23.203,-22.4516,-23.437
2.682445759,-23.487,-22.917,-23.275,-22.4606,-23.446
2.702169625,-23.651,-23.129,-23.375,-22.4656,-23.451
2.721893491,-23.987,-23.594,-23.541,-22.4666,-23.452
2.741617357,-24.753,-24.633,-23.844,-22.4646,-23.45
2.761341223,-23.055,-21.4,-24.54,-22.4586,-23.444
2.781065089,-21.813,-21.089,-24.773,-22.4506,-23.436
2.800788955,-22.108,-21.411,-21.236,-22.4406,-23.426
2.820512821,-22.265,-21.567,-21.558,-22.4296,-23.415
2.840236686,-22.341,-21.644,-21.836,-22.4196,-23.405
2.859960552,-22.369,-21.675,-21.973,-22.4136,-23.399
2.879684418,-22.369,-21.677,-22.033,-22.4166,-23.402
2.899408284,-22.35,-21.661,-22.053,-22.4346,-23.42
2.91913215,-22.318,-21.632,-22.046,-22.4856,-23.471
2.938856016,-22.276,-21.593,-22.022,-22.6036,-23.589
2.958579882,-22.226,-21.546,-21.985,-22.8646,-23.85
2.978303748,-22.17,-21.492,-21.939,-23.4366,-24.422
2.998027613,-22.108,-21.434,-21.885,-22.7106,-23.696
3.017751479,-22.043,-21.373,-21.827,-20.2096,-21.195
3.037475345,-21.975,-21.308,-21.763,-20.4246,-21.41
3.057199211,-21.904,-21.241,-21.697,-20.6246,-21.61
3.076923077,-21.831,-21.172,-21.629,-20.7106,-21.696
3.096646943,-21.758,-21.102,-21.56,-20.7366,-21.722
3.116370809,-21.683,-21.032,-21.49,-20.7306,-21.716
3.136094675,-21.609,-20.961,-21.421,-20.7076,-21.693
3.15581854,-21.535,-20.892,-21.352,-20.6726,-21.658
3.175542406,-21.463,-20.823,-21.286,-20.6316,-21.617
3.195266272,-21.399,-20.763,-21.228,-20.5886,-21.574
3.214990138,-21.322,-20.69,-21.158,-20.5326,-21.518
3.234714004,-21.262,-20.635,-21.105,-20.4826,-21.468
3.25443787,-21.189,-20.566,-21.039,-20.4196,-21.405
3.274161736,-21.135,-20.516,-20.993,-20.3686,-21.354
3.293885602,-21.067,-20.452,-20.932,-20.3026,-21.288
3.313609467,-21.02,-20.409,-20.892,-20.2546,-21.24
3.333333333,-20.958,-20.35,-20.837,-20.1906,-21.176
3.353057199,-20.928,-20.324,-20.811,-20.1586,-21.144
3.372781065,-20.882,-20.282,-20.771,-20.1096,-21.095
3.392504931,-20.821,-20.225,-20.715,-20.0446,-21.03
3.412228797,-20.803,-20.21,-20.698,-20.0236,-21.009
3.431952663,-20.769,-20.18,-20.666,-19.9876,-20.973
3.451676529,-20.719,-20.134,-20.618,-19.9336,-20.919
3.471400394,-20.712,-20.13,-20.608,-19.9266,-20.912
3.49112426,-20.69,-20.112,-20.584,-19.9036,-20.889
3.510848126,-20.652,-20.077,-20.544,-19.8636,-20.849
3.530571992,-20.655,-20.085,-20.54,-19.8696,-20.855
3.550295858,-20.644,-20.079,-20.524,-19.8616,-20.847
3.570019724,-20.617,-20.057,-20.492,-19.8356,-20.821
3.58974359,-20.626,-20.076,-20.496,-19.8546,-20.84
3.609467456,-20.622,-20.083,-20.488,-19.8606,-20.846
3.629191321,-20.601,-20.074,-20.464,-19.8496,-20.835
3.648915187,-20.609,-20.109,-20.475,-19.8786,-20.864
3.668639053,-20.605,-20.134,-20.476,-19.8976,-20.883
3.688362919,-20.585,-20.142,-20.461,-19.8996,-20.885
3.708086785,-20.589,-20.184,-20.464,-19.9206,-20.906
3.727810651,-20.608,-20.257,-20.472,-19.9476,-20.933
3.747534517,-20.638,-20.253,-20.485,-19.9786,-20.964
3.767258383,-20.671,-19.811,-20.5,-20.0126,-20.998
3.786982249,-20.707,-19.996,-20.519,-20.0476,-21.033
3.806706114,-20.745,-20.086,-20.541,-20.0866,-21.072
3.82642998,-20.797,-20.151,-20.583,-20.1406,-21.126
3.846153846,-20.839,-20.203,-20.615,-20.1856,-21.171
3.865877712,-20.867,-20.24,-20.632,-20.2156,-21.201
3.885601578,-20.918,-20.292,-20.678,-20.2696,-21.255
3.905325444,-20.964,-20.336,-20.719,-20.3176,-21.303
3.92504931,-20.996,-20.366,-20.746,-20.3526,-21.338
3.944773176,-21.049,-20.416,-20.798,-20.4066,-21.392
3.964497041,-21.098,-20.459,-20.846,-20.4566,-21.442
3.984220907,-21.133,-20.49,-20.88,-20.4936,-21.479
4.003944773,-21.187,-20.539,-20.935,-20.5466,-21.532
4.023668639,-21.236,-20.583,-20.986,-20.5946,-21.58
4.043392505,-21.274,-20.615,-21.025,-20.6316,-21.617
4.063116371,-21.327,-20.662,-21.08,-20.6816,-21.667
4.082840237,-21.376,-20.705,-21.131,-20.7266,-21.712
4.102564103,-21.413,-20.737,-21.171,-20.7616,-21.747
4.122287968,-21.463,-20.781,-21.222,-20.8066,-21.792
4.142011834,-21.51,-20.822,-21.269,-20.8476,-21.833
4.1617357,-21.546,-20.852,-21.305,-20.8776,-21.863
4.181459566,-21.59,-20.892,-21.35,-20.9166,-21.902
4.201183432,-21.632,-20.929,-21.39,-20.9506,-21.936
4.220907298,-21.664,-20.955,-21.42,-20.9756,-21.961
4.240631164,-21.701,-20.99,-21.455,-21.0066,-21.992
4.26035503,-21.736,-21.021,-21.486,-21.0346,-22.02
4.280078895,-21.76,-21.042,-21.508,-21.0516,-22.037
4.299802761,-21.789,-21.068,-21.532,-21.0746,-22.06
4.319526627,-21.813,-21.092,-21.553,-21.0936,-22.079
4.339250493,-21.829,-21.105,-21.564,-21.1036,-22.089
4.358974359,-21.846,-21.123,-21.578,-21.1166,-22.102
4.378698225,-21.859,-21.137,-21.587,-21.1266,-22.112
4.398422091,-21.863,-21.141,-21.588,-21.1266,-22.112
4.418145957,-21.868,-21.148,-21.59,-21.1306,-22.116
4.437869822,-21.868,-21.151,-21.59,-21.1306,-22.116
4.457593688,-21.859,-21.145,-21.58,-21.1216,-22.107
4.477317554,-21.851,-21.14,-21.573,-21.1156,-22.101
4.49704142,-21.839,-21.132,-21.563,-21.1056,-22.091
4.516765286,-21.817,-21.115,-21.544,-21.0876,-22.073
4.536489152,-21.797,-21.099,-21.529,-21.0716,-22.057
4.556213018,-21.773,-21.081,-21.512,-21.0526,-22.038
4.575936884,-21.74,-21.052,-21.485,-21.0246,-22.01
4.59566075,-21.711,-21.028,-21.463,-20.9996,-21.985
4.615384615,-21.679,-21.001,-21.441,-20.9726,-21.958
4.635108481,-21.637,-20.964,-21.408,-20.9356,-21.921
4.654832347,-21.602,-20.933,-21.383,-20.9026,-21.888
4.674556213,-21.566,-20.902,-21.357,-20.8686,-21.854
4.694280079,-21.52,-20.86,-21.321,-20.8246,-21.81
4.714003945,-21.483,-20.827,-21.293,-20.7866,-21.772
4.733727811,-21.448,-20.795,-21.268,-20.7476,-21.733
4.753451677,-21.401,-20.752,-21.23,-20.6986,-21.684
4.773175542,-21.367,-20.72,-21.202,-20.6566,-21.642
4.792899408,-21.337,-20.692,-21.178,-20.6166,-21.602
4.812623274,-21.294,-20.652,-21.141,-20.5656,-21.551
4.83234714,-21.266,-20.625,-21.115,-20.5236,-21.509
4.852071006,-21.244,-20.604,-21.095,-20.4866,-21.472
4.871794872,-21.209,-20.57,-21.061,-20.4366,-21.422
4.891518738,-21.187,-20.549,-21.039,-20.3976,-21.383
4.911242604,-21.176,-20.538,-21.023,-20.3676,-21.353
4.930966469,-21.15,-20.512,-20.995,-20.3226,-21.308
4.950690335,-21.137,-20.499,-20.977,-20.2916,-21.277
4.970414201,-21.136,-20.497,-20.969,-20.2716,-21.257
4.990138067,-21.12,-20.48,-20.946,-20.2356,-21.221
5.009861933,-21.116,-20.475,-20.935,-20.2156,-21.201
5.029585799,-21.124,-20.482,-20.935,-20.2086,-21.194
5.049309665,-21.118,-20.473,-20.919,-20.1856,-21.171
5.069033531,-21.122,-20.476,-20.915,-20.1776,-21.163
5.088757396,-21.139,-20.49,-20.923,-20.1856,-21.171
5.108481262,-21.141,-20.489,-20.916,-20.1776,-21.163
5.128205128,-21.152,-20.498,-20.918,-20.1826,-21.168
5.147928994,-21.176,-20.519,-20.935,-20.2056,-21.191
5.16765286,-21.186,-20.525,-20.936,-20.2126,-21.198
5.187376726,-21.203,-20.539,-20.946,-20.2306,-21.216
5.207100592,-21.232,-20.565,-20.97,-20.2676,-21.253
5.226824458,-21.248,-20.577,-20.979,-20.2876,-21.273
5.246548323,-21.269,-20.595,-20.996,-20.3176,-21.303
5.266272189,-21.304,-20.626,-21.027,-20.3646,-21.35
5.285996055,-21.324,-20.643,-21.044,-20.3956,-21.381
5.305719921,-21.35,-20.664,-21.067,-20.4346,-21.42
5.325443787,-21.388,-20.699,-21.105,-20.4886,-21.474
5.345167653,-21.413,-20.72,-21.129,-20.5286,-21.514
5.364891519,-21.441,-20.745,-21.157,-20.5726,-21.558
5.384615385,-21.483,-20.784,-21.2,-20.6326,-21.618
5.40433925,-21.511,-20.809,-21.229,-20.6786,-21.664
5.424063116,-21.542,-20.837,-21.262,-20.7266,-21.712
5.443786982,-21.586,-20.879,-21.31,-20.7886,-21.774
5.463510848,-21.618,-20.908,-21.344,-20.8386,-21.824
5.483234714,-21.647,-20.935,-21.376,-20.8846,-21.87
5.50295858,-21.684,-20.97,-21.416,-20.9396,-21.925
5.522682446,-21.726,-21.01,-21.461,-20.9986,-21.984
5.542406312,-21.765,-21.048,-21.503,-21.0546,-22.04
5.562130178,-21.805,-21.087,-21.546,-21.1116,-22.097
5.581854043,-21.849,-21.131,-21.593,-21.1726,-22.158
5.601577909,-21.889,-21.17,-21.636,-21.2296,-22.215
5.621301775,-21.933,-21.214,-21.681,-21.2906,-22.276
5.641025641,-21.978,-21.259,-21.727,-21.3526,-22.338
5.660749507,-22.025,-21.307,-21.774,-21.4176,-22.403
5.680473373,-22.073,-21.355,-21.82,-21.4836,-22.469
5.700197239,-22.121,-21.403,-21.866,-21.5506,-22.536
5.719921105,-22.175,-21.457,-21.917,-21.6396,-22.625
5.73964497,-22.238,-21.515,-21.973,-21.7746,-22.76
5.759368836,-22.3,-21.573,-22.029,-21.9216,-22.907
5.779092702,-22.362,-21.631,-22.085,-22.0386,-23.024
5.798816568,-22.423,-21.688,-22.141,-22.0176,-23.003
5.818540434,-22.484,-21.745,-22.195,-21.8446,-22.83
5.8382643,-22.544,-21.802,-22.249,-21.7336,-22.719
5.857988166,-22.604,-21.859,-22.302,-21.7476,-22.733
5.877712032,-22.664,-21.915,-22.354,-21.8076,-22.793
5.897435897,-22.726,-21.972,-22.404,-21.8766,-22.862
5.917159763,-22.79,-22.03,-22.455,-21.9416,-22.927
5.936883629,-22.861,-22.091,-22.504,-22.0016,-22.987
5.956607495,-22.942,-22.157,-22.553,-22.0556,-23.041
5.976331361,-23.045,-22.231,-22.602,-22.1036,-23.089
5.996055227,-23.186,-22.321,-22.651,-22.1466,-23.132
6.015779093,-23.332,-22.438,-22.702,-22.1846,-23.17
6.035502959,-23.133,-22.604,-22.755,-22.2176,-23.203
6.055226824,-22.802,-22.777,-22.815,-22.2456,-23.231
6.07495069,-22.675,-22.561,-22.885,-22.2696,-23.255
6.094674556,-22.696,-22.159,-22.975,-22.2886,-23.274
6.114398422,-22.737,-21.972,-23.101,-22.3056,-23.291
6.134122288,-22.774,-21.98,-23.274,-22.3176,-23.303
6.153846154,-22.803,-22.024,-23.393,-22.3266,-23.312
6.17357002,-22.825,-22.065,-22.985,-22.3326,-23.318
6.193293886,-22.844,-22.1,-22.591,-22.3376,-23.323
6.213017751,-22.864,-22.134,-22.609,-22.3456,-23.331
6.232741617,-22.872,-22.156,-22.602,-22.3436,-23.329
6.252465483,-22.874,-22.17,-22.582,-22.3346,-23.32
6.272189349,-22.886,-22.192,-22.619,-22.3376,-23.323
6.291913215,-22.887,-22.204,-22.644,-22.3306,-23.316
6.311637081,-22.88,-22.207,-22.659,-22.3156,-23.301
6.331360947,-22.889,-22.224,-22.683,-22.3166,-23.302
6.351084813,-22.886,-22.23,-22.696,-22.3066,-23.292
6.370808679,-22.875,-22.228,-22.699,-22.2886,-23.274
6.390532544,-22.883,-22.243,-22.718,-22.2906,-23.276
6.41025641,-22.879,-22.246,-22.725,-22.2816,-23.267
6.429980276,-22.864,-22.24,-22.721,-22.2616,-23.247
6.449704142,-22.863,-22.244,-22.728,-22.2556,-23.241
6.469428008,-22.86,-22.248,-22.734,-22.2486,-23.234
6.489151874,-22.859,-22.253,-22.74,-22.2466,-23.232
6.50887574,-22.861,-22.259,-22.748,-22.2486,-23.234
6.528599606,-22.863,-22.266,-22.755,-22.2546,-23.24
6.548323471,-22.866,-22.273,-22.764,-22.2686,-23.254
6.568047337,-22.888,-22.297,-22.787,-22.3386,-23.324
6.587771203,-22.896,-22.308,-22.798,-22.3946,-23.38
