Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_4 []"
4.632352941,-20.733,-21.264,-22.247,-21.116,-21.001
4.650735294,-20.711,-21.243,-22.219,-21.09,-20.976
4.669117647,-20.694,-21.227,-22.196,-21.069,-20.956
4.6875,-20.668,-21.202,-22.164,-21.039,-20.927
4.705882353,-20.639,-21.174,-22.129,-21.006,-20.894
4.724264706,-20.623,-21.16,-22.108,-20.987,-20.874
4.742647059,-20.598,-21.135,-22.077,-20.958,-20.844
4.761029412,-20.563,-21.101,-22.036,-20.919,-20.805
4.779411765,-20.549,-21.089,-22.018,-20.903,-20.786
4.797794118,-20.526,-21.067,-21.991,-20.877,-20.758
4.816176471,-20.493,-21.035,-21.952,-20.841,-20.719
4.834558824,-20.476,-21.019,-21.932,-20.822,-20.696
4.852941176,-20.457,-21.002,-21.911,-20.803,-20.673
4.871323529,-20.428,-20.974,-21.878,-20.772,-20.637
4.889705882,-20.408,-20.954,-21.856,-20.752,-20.611
4.908088235,-20.397,-20.945,-21.845,-20.742,-20.595
4.926470588,-20.374,-20.923,-21.822,-20.721,-20.566
4.944852941,-20.351,-20.901,-21.798,-20.699,-20.537
4.963235294,-20.351,-20.902,-21.802,-20.702,-20.533
4.981617647,-20.338,-20.89,-21.791,-20.693,-20.515
5,-20.312,-20.866,-21.768,-20.671,-20.484
5.018382353,-20.315,-20.868,-21.771,-20.673,-20.522
5.036764706,-20.305,-20.857,-21.761,-20.662,-20.547
5.055147059,-20.31,-20.861,-21.766,-20.666,-20.556
5.073529412,-20.306,-20.857,-21.763,-20.662,-20.554
5.091911765,-20.312,-20.862,-21.77,-20.669,-20.551
5.110294118,-20.316,-20.864,-21.775,-20.673,-20.539
5.128676471,-20.324,-20.871,-21.784,-20.681,-20.536
5.147058824,-20.335,-20.88,-21.796,-20.693,-20.541
5.165441176,-20.342,-20.885,-21.804,-20.7,-20.542
5.183823529,-20.356,-20.897,-21.82,-20.715,-20.553
5.202205882,-20.373,-20.912,-21.838,-20.733,-20.567
5.220588235,-20.392,-20.928,-21.858,-20.752,-20.584
5.238970588,-20.414,-20.947,-21.881,-20.774,-20.604
5.257352941,-20.451,-20.98,-21.918,-20.811,-20.638
5.275735294,-20.475,-21.001,-21.943,-20.834,-20.66
5.294117647,-20.501,-21.023,-21.968,-20.859,-20.683
5.3125,-20.543,-21.058,-22.007,-20.897,-20.72
5.330882353,-20.572,-21.081,-22.034,-20.922,-20.744
5.349264706,-20.62,-21.118,-22.073,-20.96,-20.781
5.367647059,-20.672,-21.157,-22.113,-20.999,-20.82
5.386029412,-20.712,-21.184,-22.142,-21.026,-20.846
5.404411765,-20.807,-21.24,-22.193,-21.076,-20.896
5.422794118,-20.896,-21.286,-22.235,-21.116,-20.936
5.441176471,-20.937,-21.335,-22.274,-21.153,-20.973
5.459558824,-20.853,-21.419,-22.328,-21.205,-21.026
5.477941176,-20.761,-21.492,-22.371,-21.245,-21.067
5.496323529,-20.755,-21.502,-22.421,-21.293,-21.115
5.514705882,-20.81,-21.463,-22.476,-21.345,-21.168
5.533088235,-20.849,-21.418,-22.52,-21.385,-21.209
5.551470588,-20.91,-21.451,-22.583,-21.442,-21.267
5.569852941,-20.964,-21.482,-22.64,-21.493,-21.32
5.588235294,-21.012,-21.506,-22.692,-21.538,-21.365
5.606617647,-21.072,-21.569,-22.765,-21.598,-21.427
5.625,-21.121,-21.62,-22.829,-21.648,-21.477
5.643382353,-21.168,-21.669,-22.899,-21.697,-21.527
5.661764706,-21.219,-21.721,-22.991,-21.752,-21.582
5.680147059,-21.27,-21.772,-23.104,-21.808,-21.636
5.698529412,-21.32,-21.823,-23.197,-21.865,-21.691
5.716911765,-21.371,-21.874,-23.162,-21.926,-21.746
5.735294118,-21.429,-21.932,-23.141,-22.006,-21.809
5.753676471,-21.477,-21.981,-23.106,-22.077,-21.863
5.772058824,-21.516,-22.02,-23.057,-22.14,-21.908
5.790441176,-21.571,-22.074,-23.109,-22.157,-21.968
5.808823529,-21.618,-22.123,-23.164,-22.165,-22.023
5.827205882,-21.657,-22.161,-23.208,-22.169,-22.068
5.845588235,-21.703,-22.208,-23.257,-22.191,-22.124
5.863970588,-21.75,-22.254,-23.304,-22.212,-22.182
5.882352941,-21.787,-22.292,-23.343,-22.22,-22.231
5.900735294,-21.826,-22.331,-23.381,-22.241,-22.29
5.919117647,-21.87,-22.375,-23.421,-22.284,-22.366
5.9375,-21.905,-22.41,-23.454,-22.319,-22.436
5.955882353,-21.935,-22.44,-23.48,-22.347,-22.477
5.974264706,-21.971,-22.476,-23.509,-22.378,-22.416
5.992647059,-22.005,-22.509,-23.536,-22.405,-22.352
6.011029412,-22.037,-22.539,-23.558,-22.428,-22.276
6.029411765,-22.072,-22.572,-23.582,-22.452,-22.303
6.047794118,-22.103,-22.601,-23.6,-22.472,-22.33
6.066176471,-22.136,-22.629,-23.617,-22.489,-22.358
6.084558824,-22.173,-22.658,-23.633,-22.505,-22.382
6.102941176,-22.207,-22.683,-23.645,-22.517,-22.4
6.121323529,-22.252,-22.713,-23.657,-22.53,-22.417
6.139705882,-22.303,-22.741,-23.667,-22.54,-22.43
6.158088235,-22.362,-22.768,-23.674,-22.547,-22.439
6.176470588,-22.454,-22.803,-23.683,-22.556,-22.448
6.194852941,-22.555,-22.836,-23.687,-22.56,-22.451
6.213235294,-22.637,-22.88,-23.692,-22.565,-22.455
6.231617647,-22.427,-22.934,-23.696,-22.569,-22.457
6.25,-21.951,-23.007,-23.7,-22.572,-22.457
6.268382353,-21.813,-23.114,-23.705,-22.576,-22.458
6.286764706,-21.831,-23.247,-23.709,-22.579,-22.457
6.305147059,-21.875,-23.261,-23.714,-22.582,-22.455
6.323529412,-21.916,-22.873,-23.723,-22.588,-22.456
6.341911765,-21.948,-22.47,-23.727,-22.59,-22.452
6.360294118,-21.976,-22.443,-23.738,-22.596,-22.452
6.378676471,-21.999,-22.446,-23.75,-22.602,-22.45
6.397058824,-22.017,-22.485,-23.761,-22.606,-22.447
6.415441176,-22.037,-22.523,-23.785,-22.616,-22.449
6.433823529,-22.054,-22.554,-23.814,-22.627,-22.451
6.452205882,-22.077,-22.587,-23.87,-22.649,-22.462
