Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_3 []"
0,-255.648,-258.183,-256.518,-257.418,-270.104
0.019455253,-56.892,-61.26,-56.128,-60.495,-69.937
0.038910506,-51.17,-55.251,-50.277,-54.486,-63.935
0.058365759,-47.72,-51.741,-46.802,-50.976,-60.441
0.077821012,-45.263,-49.258,-44.337,-48.493,-57.986
0.097276265,-43.359,-47.34,-42.432,-46.575,-56.099
0.116731518,-41.809,-45.778,-40.882,-45.013,-54.572
0.13618677,-40.514,-44.471,-39.589,-43.706,-53.312
0.155642023,-39.401,-43.344,-38.479,-42.579,-52.237
0.175097276,-38.418,-42.35,-37.499,-41.585,-51.287
0.194552529,-37.563,-41.476,-36.647,-40.711,-50.477
0.214007782,-36.794,-40.689,-35.882,-39.924,-49.751
0.233463035,-36.101,-39.975,-35.192,-39.21,-49.102
0.252918288,-35.513,-39.348,-34.608,-38.583,-48.577
0.272373541,-34.956,-38.759,-34.054,-37.994,-48.074
0.291828794,-34.41,-38.192,-33.511,-37.427,-47.564
0.311284047,-33.965,-37.7,-33.068,-36.935,-47.177
0.3307393,-33.55,-37.237,-32.655,-36.472,-46.818
0.350194553,-33.13,-36.783,-32.237,-36.018,-46.441
0.369649805,-32.79,-36.383,-31.897,-35.618,-46.156
0.389105058,-32.48,-36.009,-31.587,-35.244,-45.903
0.408560311,-32.158,-35.635,-31.265,-34.87,-45.625
0.428015564,-31.897,-35.302,-31.002,-34.537,-45.417
0.447470817,-31.669,-34.992,-30.772,-34.227,-45.246
0.46692607,-31.424,-34.678,-30.525,-33.913,-45.047
0.486381323,-31.225,-34.395,-30.322,-33.63,-44.899
0.505836576,-31.062,-34.133,-30.155,-33.368,-44.792
0.525291829,-30.881,-33.866,-29.969,-33.101,-44.659
0.544747082,-30.731,-33.62,-29.815,-32.855,-44.56
0.564202335,-30.619,-33.396,-29.697,-32.631,-44.505
0.583657588,-30.488,-33.165,-29.561,-32.4,-44.425
0.603112841,-30.378,-32.948,-29.446,-32.183,-44.368
0.622568093,-30.303,-32.753,-29.367,-31.988,-44.355
0.642023346,-30.211,-32.55,-29.272,-31.785,-44.32
0.661478599,-30.128,-32.356,-29.187,-31.591,-44.298
0.680933852,-30.076,-32.183,-29.139,-31.418,-44.318
0.700389105,-30.007,-32.002,-29.074,-31.237,-44.321
0.719844358,-29.934,-31.823,-29.009,-31.058,-44.322
0.739299611,-29.873,-31.658,-28.963,-30.893,-44.35
0.758754864,-29.808,-31.5,-28.918,-30.735,-44.389
0.778210117,-29.736,-31.344,-28.86,-30.579,-44.428
0.79766537,-29.661,-31.194,-28.775,-30.429,-44.477
0.817120623,-29.589,-31.049,-28.598,-30.284,-44.529
0.836575876,-29.517,-30.905,-28.365,-30.14,-44.58
