Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_4 []"
0,-256.976,-257.33,-258.018,-258.729,-258.101
0.025380711,-52.895,-53.359,-53.913,-53.905,-53.644
0.050761421,-46.895,-47.359,-47.912,-47.905,-47.643
0.076142132,-43.409,-43.874,-44.427,-44.42,-44.157
0.101522843,-40.96,-41.425,-41.979,-41.971,-41.707
0.126903553,-39.087,-39.552,-40.106,-40.098,-39.833
0.152284264,-37.585,-38.051,-38.606,-38.597,-38.331
0.177664975,-36.338,-36.804,-37.361,-37.351,-37.083
0.203045685,-35.269,-35.735,-36.293,-36.282,-36.013
0.228426396,-34.366,-34.833,-35.391,-35.38,-35.109
0.253807107,-33.577,-34.044,-34.603,-34.592,-34.319
0.279187817,-32.877,-33.344,-33.904,-33.892,-33.617
0.304568528,-32.282,-32.749,-33.309,-33.298,-33.02
0.329949239,-31.744,-32.212,-32.773,-32.762,-32.481
0.355329949,-31.261,-31.73,-32.291,-32.28,-31.996
0.38071066,-30.918,-31.388,-31.95,-31.938,-31.652
0.406091371,-30.565,-31.037,-31.598,-31.587,-31.298
0.431472081,-30.198,-30.67,-31.232,-31.221,-30.929
0.456852792,-29.902,-30.375,-30.937,-30.927,-30.633
0.482233503,-29.7,-30.175,-30.738,-30.727,-30.43
0.507614213,-29.473,-29.95,-30.513,-30.502,-30.203
0.532994924,-29.226,-29.704,-30.268,-30.257,-29.955
0.558375635,-29.12,-29.601,-30.166,-30.154,-29.851
0.583756345,-29.006,-29.49,-30.057,-30.043,-29.739
0.609137056,-28.868,-29.354,-29.922,-29.907,-29.601
0.634517767,-28.769,-29.257,-29.826,-29.811,-29.504
0.659898477,-28.749,-29.24,-29.81,-29.794,-29.488
0.685279188,-28.702,-29.197,-29.768,-29.751,-29.445
0.710659899,-28.631,-29.128,-29.701,-29.683,-29.377
0.736040609,-28.632,-29.132,-29.704,-29.687,-29.383
0.76142132,-28.642,-29.145,-29.717,-29.702,-29.4
0.786802031,-28.673,-29.181,-29.751,-29.739,-29.439
0.812182741,-28.722,-29.237,-29.806,-29.797,-29.5
0.837563452,-28.773,-29.294,-29.862,-29.858,-29.563
0.862944162,-28.84,-29.374,-29.942,-29.943,-29.65
0.888324873,-28.899,-29.451,-30.019,-30.027,-29.738
0.913705584,-28.943,-29.529,-30.1,-30.119,-29.841
0.939086294,-28.908,-29.582,-30.16,-30.199,-29.956
0.964467005,-28.651,-29.56,-30.156,-30.236,-30.064
0.989847716,-26.778,-29.254,-29.903,-30.124,-30.14
1.015228426,-32.631,-27.251,-28.303,-29.404,-30.095
1.040609137,-31.819,-33.386,-33.5,-26.11,-29.576
1.065989848,-31.688,-32.792,-33.389,-33.714,-25.9
1.091370558,-31.846,-32.683,-33.262,-33.387,-33.883
1.116751269,-32.135,-32.875,-33.451,-33.498,-33.608
1.14213198,-32.512,-33.209,-33.788,-33.798,-33.723
1.16751269,-32.966,-33.644,-34.226,-34.214,-34.059
1.192893401,-33.496,-34.165,-34.75,-34.723,-34.524
1.218274112,-34.156,-34.82,-35.41,-35.371,-35.149
1.243654822,-34.814,-35.474,-36.068,-36.018,-35.773
1.269035533,-35.648,-36.302,-36.901,-36.841,-36.578
1.294416244,-36.57,-37.211,-37.815,-37.745,-37.466
1.319796954,-37.608,-38.243,-38.852,-38.774,-38.475
1.345177665,-38.868,-39.5,-40.115,-40.029,-39.706
1.370558376,-40.173,-40.781,-41.399,-41.311,-40.955
1.395939086,-41.856,-42.485,-43.105,-43.022,-42.618
1.421319797,-43.424,-44.02,-44.617,-44.575,-44.104
1.446700508,-45.125,-45.588,-46.13,-46.184,-45.629
1.472081218,-45.853,-46.127,-46.567,-46.78,-46.174
1.497461929,-44.705,-44.915,-45.287,-45.586,-45.028
1.52284264,-43.247,-43.474,-43.83,-44.148,-43.649
1.54822335,-41.378,-41.691,-42.058,-42.357,-41.902
1.573604061,-39.496,-39.895,-40.279,-40.548,-40.12
1.598984772,-38.082,-38.531,-38.934,-39.184,-38.771
1.624365482,-36.737,-37.233,-37.651,-37.885,-37.48
1.649746193,-35.474,-36.009,-36.439,-36.661,-36.259
1.675126904,-34.527,-35.082,-35.527,-35.739,-35.343
1.700507614,-33.605,-34.178,-34.637,-34.84,-34.449
1.725888325,-32.715,-33.305,-33.774,-33.972,-33.581
1.751269036,-32.051,-32.652,-33.135,-33.325,-32.948
1.776649746,-31.378,-31.99,-32.485,-32.669,-32.301
1.802030457,-30.719,-31.342,-31.849,-32.027,-31.666
1.827411168,-30.187,-30.844,-31.365,-31.539,-31.204
1.852791878,-29.642,-30.328,-30.863,-31.032,-30.72
1.878172589,-29.075,-29.816,-30.365,-30.533,-30.243
1.903553299,-28.375,-29.36,-29.928,-30.113,-29.886
1.92893401,-27.697,-28.892,-29.479,-29.678,-29.504
