Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []"
2.33463035,-22.712,-23.771,-21.77,-38.999
2.354085603,-22.762,-23.732,-21.796,-39.093
2.373540856,-22.838,-23.698,-21.83,-39.188
2.392996109,-22.954,-23.663,-21.869,-39.279
2.412451362,-23.162,-23.628,-21.909,-39.366
2.431906615,-23.684,-23.593,-21.954,-39.448
2.451361868,-23.393,-23.556,-22.001,-39.523
2.470817121,-22.207,-23.516,-22.055,-39.592
2.490272374,-22.387,-23.472,-22.117,-39.653
2.509727626,-22.507,-23.424,-22.2,-39.708
2.529182879,-22.596,-23.364,-22.289,-39.757
2.548638132,-22.657,-23.563,-22.456,-39.724
2.568093385,-22.706,-23.624,-22.764,-39.641
2.587548638,-22.744,-23.498,-23.275,-39.494
2.607003891,-22.776,-23.438,-22.035,-39.896
2.626459144,-22.8,-23.384,-21.138,-40.096
2.645914397,-22.819,-23.344,-21.417,-39.913
2.66536965,-22.832,-23.308,-21.601,-39.802
2.684824903,-22.84,-23.278,-21.693,-39.706
2.704280156,-22.842,-23.251,-21.734,-39.603
2.723735409,-22.837,-23.214,-21.768,-39.496
2.743190661,-22.83,-23.189,-21.788,-39.384
2.762645914,-22.814,-23.154,-21.799,-39.266
2.782101167,-22.796,-23.126,-21.802,-39.146
2.80155642,-22.77,-23.093,-21.796,-39.019
2.821011673,-22.74,-23.061,-21.782,-38.89
2.840466926,-22.706,-23.031,-21.761,-38.756
2.859922179,-22.665,-22.995,-21.732,-38.618
2.879377432,-22.623,-22.973,-21.701,-38.482
2.898832685,-22.574,-22.94,-21.66,-38.337
2.918287938,-22.517,-22.899,-21.612,-38.186
2.937743191,-22.464,-22.879,-21.566,-38.048
2.957198444,-22.401,-22.847,-21.511,-37.897
2.976653696,-22.332,-22.805,-21.448,-37.737
2.996108949,-22.269,-22.787,-21.392,-37.603
3.015564202,-22.198,-22.757,-21.327,-37.454
3.035019455,-22.117,-22.716,-21.252,-37.291
3.054474708,-22.049,-22.699,-21.19,-37.169
3.073929961,-21.971,-22.672,-21.118,-37.029
3.093385214,-21.884,-22.633,-21.036,-36.872
3.112840467,-21.812,-22.617,-20.968,-36.766
3.13229572,-21.733,-22.592,-20.893,-36.644
3.151750973,-21.643,-22.556,-20.807,-36.502
3.171206226,-21.572,-22.54,-20.737,-36.417
3.190661479,-21.495,-22.518,-20.661,-36.32
3.210116732,-21.406,-22.484,-20.574,-36.199
