Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_4 []"
0,-250.84,-250.584,-252.223,-250.997,-250.815
0.018382353,-52.381,-52.25,-53.829,-52.735,-52.596
0.036764706,-46.374,-46.24,-47.821,-46.722,-46.562
0.055147059,-42.876,-42.738,-44.322,-43.215,-43.043
0.073529412,-40.406,-40.262,-41.85,-40.734,-40.558
0.091911765,-38.505,-38.357,-39.95,-38.824,-38.648
0.110294118,-36.967,-36.814,-38.411,-37.277,-37.101
0.128676471,-35.679,-35.523,-37.125,-35.983,-35.806
0.147058824,-34.577,-34.418,-36.023,-34.877,-34.697
0.165441177,-33.629,-33.467,-35.075,-33.928,-33.742
0.183823529,-32.782,-32.618,-34.229,-33.082,-32.89
0.202205882,-32.031,-31.866,-33.479,-32.334,-32.134
0.220588235,-31.358,-31.192,-32.806,-31.665,-31.456
0.238970588,-30.751,-30.584,-32.199,-31.063,-30.844
0.257352941,-30.203,-30.036,-31.651,-30.521,-30.292
0.275735294,-29.703,-29.536,-31.15,-30.026,-29.787
0.294117647,-29.251,-29.084,-30.697,-29.579,-29.331
0.3125,-28.833,-28.667,-30.278,-29.166,-28.91
0.330882353,-28.456,-28.292,-29.901,-28.793,-28.53
0.349264706,-28.105,-27.943,-29.549,-28.445,-28.176
0.367647059,-27.791,-27.63,-29.234,-28.132,-27.859
0.386029412,-27.495,-27.336,-28.937,-27.838,-27.561
0.404411765,-27.232,-27.076,-28.675,-27.576,-27.298
0.422794118,-26.982,-26.829,-28.425,-27.327,-27.047
0.441176471,-26.764,-26.614,-28.207,-27.109,-26.829
0.459558824,-26.555,-26.407,-27.999,-26.899,-26.62
0.477941177,-26.375,-26.231,-27.821,-26.719,-26.441
0.496323529,-26.201,-26.06,-27.648,-26.544,-26.268
0.514705882,-26.056,-25.918,-27.505,-26.398,-26.125
0.533088235,-25.913,-25.778,-27.365,-26.255,-25.984
0.551470588,-25.799,-25.667,-27.255,-26.14,-25.872
0.569852941,-25.685,-25.557,-27.144,-26.026,-25.761
0.588235294,-25.6,-25.474,-27.063,-25.94,-25.679
0.606617647,-25.512,-25.389,-26.979,-25.852,-25.595
0.625,-25.453,-25.333,-26.925,-25.793,-25.539
0.643382353,-25.39,-25.273,-26.867,-25.73,-25.48
0.661764706,-25.356,-25.241,-26.839,-25.697,-25.451
0.680147059,-25.316,-25.204,-26.805,-25.658,-25.416
0.698529412,-25.307,-25.196,-26.802,-25.649,-25.41
0.716911765,-25.291,-25.181,-26.792,-25.634,-25.399
0.735294118,-25.31,-25.202,-26.819,-25.655,-25.423
0.753676471,-25.315,-25.208,-26.83,-25.661,-25.432
