Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3_1 []"
6.02,-11.5781,-17.9485,-38.056772
6.03,-11.57635,-17.93975,-38.004858
6.04,-11.57353846,-17.9285641,-37.95112
6.05,-11.57046154,-17.91676923,-37.89715
6.06,-11.56738462,-17.90497436,-37.839308
6.07,-11.56430769,-17.89317949,-37.781226
6.08,-11.560175,-17.87895,-37.725704
6.09,-11.555925,-17.86445,-37.669958
6.1,-11.551675,-17.84995,-37.60982
6.11,-11.547425,-17.83545,-37.549952
6.12,-11.541825,-17.81825,-37.492384
6.13,-11.536075,-17.80075,-37.43457
6.14,-11.530325,-17.78325,-37.37546
6.15,-11.524575,-17.76575,-37.31635
6.16,-11.51730769,-17.74530769,-37.25724
6.17,-11.50987179,-17.72453846,-37.199096
6.18,-11.5024359,-17.70376923,-37.143584
6.19,-11.495,-17.683,-37.08608
6.2,-11.48666667,-17.66,-37.0244
6.21,-11.47833333,-17.637,-36.967376
6.22,-11.47,-17.614,-36.918032
6.23,-11.46033333,-17.58966667,-36.864914
6.24,-11.45066667,-17.56533333,-36.806832
6.25,-11.441,-17.541,-36.754
6.26,-11.43033333,-17.51533333,-36.706712
6.27,-11.41966667,-17.48966667,-36.6572
6.28,-11.409,-17.464,-36.6058
6.29,-11.397,-17.437,-36.556848
6.3,-11.385,-17.41,-36.50956
6.31,-11.373,-17.383,-36.465278
6.32,-11.3592069,-17.35437931,-36.422616
6.33,-11.34541379,-17.32575862,-36.376334
6.34,-11.33156667,-17.2971,-36.328532
6.35,-11.31723333,-17.2681,-36.29243
6.36,-11.3029,-17.2391,-36.260048
6.37,-11.2884,-17.21003333,-36.21847
6.38,-11.2724,-17.18036667,-36.17478
6.39,-11.2564,-17.1507,-36.147146
6.4,-11.24026667,-17.12093333,-36.12196
6.41,-11.22293333,-17.09026667,-36.089664
6.42,-11.2056,-17.0596,-36.056768
6.43,-11.18803448,-17.0287931,-36.032908
6.44,-11.16837931,-16.99672414,-36.00936
6.45,-11.14872414,-16.96465517,-35.9888
6.46,-11.12886667,-16.93266667,-35.968064
6.47,-11.1082,-16.901,-35.945448
6.48,-11.08753333,-16.86933333,-35.924992
6.49,-11.0666,-16.83766667,-35.917796
6.5,-11.0446,-16.806,-35.908
6.51,-11.0226,-16.77433333,-35.88744
6.52,-11.0004,-16.7426,-35.873408
6.53,-10.9774,-16.7106,-35.879062
6.54,-10.9544,-16.6786,-35.880816
6.55,-10.93085714,-16.64628571,-35.87362
6.56,-10.90514286,-16.61271429,-35.87176
6.57,-10.88026667,-16.5804,-35.87947
6.58,-10.8558,-16.5488,-35.886968
6.59,-10.8318,-16.51813333,-35.894164
6.6,-10.80726667,-16.48746667,-35.9004
6.61,-10.7828,-16.4568,-35.90554
6.62,-10.7588,-16.42613333,-35.916308
6.63,-10.73533333,-16.39653333,-35.932242
6.64,-10.712,-16.3672,-35.950248
6.65,-10.68866667,-16.33786667,-35.96978
6.66,-10.66586667,-16.3096,-35.992552
6.67,-10.6436,-16.2816,-36.017224
6.68,-10.62226667,-16.2536,-36.045416
6.69,-10.60028571,-16.22514286,-36.075228
6.7,-10.579,-16.1976,-36.10618
6.71,-10.559,-16.1716,-36.137534
6.72,-10.5396,-16.1462,-36.173376
6.73,-10.52106667,-16.12113333,-36.210384
6.74,-10.50373333,-16.09646667,-36.252624
6.75,-10.4864,-16.073,-36.2958
6.76,-10.4696,-16.04993333,-36.338976
6.77,-10.4536,-16.02726667,-36.382152
6.78,-10.4388,-16.0052,-36.430248
6.79,-10.4242069,-15.98331034,-36.47866
6.8,-10.40972414,-15.96158621,-36.5352
6.81,-10.39524138,-15.93986207,-36.591026
6.82,-10.38183333,-15.91933333,-36.636772
6.83,-10.3695,-15.9,-36.684564
6.84,-10.35716667,-15.88066667,-36.747272
6.85,-10.3455,-15.862,-36.80863
6.86,-10.3345,-15.844,-36.863628
6.87,-10.3235,-15.826,-36.920278
6.88,-10.313,-15.80866667,-36.982472
6.89,-10.303,-15.792,-37.045104
6.9,-10.293,-15.77533333,-37.10884
6.91,-10.2838,-15.7592,-37.17188
6.92,-10.2754,-15.7436,-37.23356
6.93,-10.267,-15.728,-37.298472
6.94,-10.25908333,-15.713,-37.368376
6.95,-10.25116667,-15.698,-37.4346
6.96,-10.24392,-15.6836,-37.49628
6.97,-10.23712,-15.6696,-37.564668
6.98,-10.2304,-15.65576,-37.639712
6.99,-10.2244,-15.64336,-37.710466
7,-10.2184,-15.63096,-37.7778
7.01,-10.21312,-15.6188,-37.848902
7.02,-10.20832,-15.6068,-37.922404
7.03,-10.2036,-15.59492,-37.99488
7.04,-10.1996,-15.58412,-38.06684
7.05,-10.1956,-15.57332,-38.1388
7.06,-10.19225,-15.5625,-38.21076
7.07,-10.18933333,-15.55166667,-38.285108
7.08,-10.18652,-15.54116,-38.360152
7.09,-10.18412,-15.53196,-38.431362
7.1,-10.18172,-15.52276,-38.50178
7.11,-10.1803,-15.5137,-38.578554
7.12,-10.1786,-15.5054,-38.656168
7.13,-10.178,-15.4974,-38.727998
7.14,-10.1773,-15.4894,-38.799444
7.15,-10.17723333,-15.48186667,-38.87038
7.16,-10.17756667,-15.47453333,-38.94148
7.17,-10.1779,-15.4672,-39.01601
7.18,-10.17872414,-15.46041379,-39.090644
7.19,-10.17975862,-15.45386207,-39.166202
7.2,-10.1807931,-15.44731034,-39.24144
7.21,-10.1826,-15.44146667,-39.314942
7.22,-10.1846,-15.4358,-39.387256
7.23,-10.1866,-15.43013333,-39.455104
7.24,-10.18913333,-15.425,-39.522
7.25,-10.1918,-15.42,-39.58625
7.26,-10.19446667,-15.415,-39.648368
7.27,-10.19766667,-15.41053333,-39.705936
7.28,-10.201,-15.4062,-39.761776
7.29,-10.20433333,-15.40186667,-39.814718
7.3,-10.20831034,-15.39796552,-39.8648
7.31,-10.21244828,-15.39417241,-39.91106
7.32,-10.21658621,-15.39037931,-39.95484
7.33,-10.2209,-15.3867,-39.99596
7.34,-10.22523333,-15.38303333,-40.033768
7.35,-10.22956667,-15.37936667,-40.06872
7.36,-10.2345,-15.3763,-40.100632
7.37,-10.2395,-15.3733,-40.130444
7.38,-10.2445,-15.3703,-40.156272
7.39,-10.2495,-15.3673,-40.179916
7.4,-10.2545,-15.3643,-40.19996
7.41,-10.2595,-15.3613,-40.218464
7.42,-10.26465517,-15.3582069,-40.2327
7.43,-10.26982759,-15.35510345,-40.24555
7.44,-10.275,-15.352,-40.253824
7.45,-10.28033333,-15.349,-40.26102
7.46,-10.28566667,-15.346,-40.264664
7.47,-10.291,-15.343,-40.267748
7.48,-10.29566667,-15.34,-40.265168
7.49,-10.30033333,-15.337,-40.262084
7.5,-10.305,-15.334,-40.2545
7.51,-10.30966667,-15.33066667,-40.246664
7.52,-10.31433333,-15.32733333,-40.234328
7.53,-10.319,-15.324,-40.221614
7.54,-10.32333333,-15.32033333,-40.204652
7.55,-10.32766667,-15.31666667,-40.18699
7.56,-10.332,-15.313,-40.164888
7.57,-10.3357931,-15.30851724,-40.142002
7.58,-10.33958621,-15.30403448,-40.115788
7.59,-10.3433,-15.2995,-40.088566
7.6,-10.3463,-15.2945,-40.05824
7.61,-10.3493,-15.2895,-40.026836
7.62,-10.3522,-15.28445,-39.992912
7.63,-10.3542,-15.27895,-39.95735
7.64,-10.3562,-15.2734,-39.9188
7.65,-10.3582,-15.2674,-39.87878
7.66,-10.3601,-15.26135,-39.836632
7.67,-10.3611,-15.25485,-39.793056
7.68,-10.36205263,-15.24821053,-39.747824
7.69,-10.36257895,-15.24031579,-39.70073
7.7,-10.363,-15.2324,-39.6519
7.71,-10.363,-15.2244,-39.6016
7.72,-10.363,-15.2164,-39.5502
7.73,-10.36216,-15.20784,-39.496868
7.74,-10.36096,-15.19904,-39.442384
7.75,-10.35952,-15.19,-39.3879
7.76,-10.35712,-15.18,-39.333416
7.77,-10.35472,-15.17,-39.27553
7.78,-10.35176,-15.15972,-39.21642
7.79,-10.34856,-15.14932,-39.159746
7.8,-10.34516667,-15.1385,-39.10372
7.81,-10.341,-15.126,-39.051166
7.82,-10.33683333,-15.1135,-38.999252
7.83,-10.33152,-15.10108,-38.952882
7.84,-10.32592,-15.08868,-38.907136
7.85,-10.32008,-15.0758,-38.87217
7.86,-10.31368,-15.0618,-38.837876
7.87,-10.30728,-15.0478,-38.821942
7.88,-10.29992,-15.03348,-38.805816
7.89,-10.29232,-15.01908,-38.786798
7.9,-10.28436,-15.00432,-38.77018
7.91,-10.27556,-14.98872,-38.771722
7.92,-10.26676,-14.97312,-38.772648
7.93,-10.257,-14.95633333,-38.770592
7.94,-10.247,-14.93925,-38.77016
7.95,-10.23652,-14.92196,-38.7753
7.96,-10.22532,-14.90436,-38.779432
7.97,-10.21412,-14.88676,-38.780974
7.98,-10.2022,-14.86844,-38.782516
7.99,-10.1902,-14.85004,-38.784058
8,-10.17772,-14.83132,-38.7844
8.01,-10.16452,-14.81212,-38.782858
8.02,-10.15132,-14.79292,-38.782456
8.03,-10.13704,-14.773,-38.783484
8.04,-10.12264,-14.753,-38.785536
8.05,-10.10766667,-14.7325,-38.78862
8.06,-10.09183333,-14.71125,-38.793692
8.07,-10.076,-14.69,-38.800374
8.08,-10.0596,-14.6688,-38.80924
8.09,-10.0432,-14.6476,-38.81952
8.1,-10.02666667,-14.62604762,-38.83286
8.11,-10.01,-14.60414286,-38.847766
8.12,-9.992952381,-14.5822381,-38.86672
8.13,-9.975333333,-14.56033333,-38.88728
8.14,-9.9573,-14.53795,-38.912196
8.15,-9.9383,-14.51445,-38.93841
8.16,-9.919571429,-14.49114286,-38.971408
8.17,-9.90147619,-14.46828571,-39.005846
8.18,-9.883190476,-14.44542857,-39.0439
8.19,-9.864142857,-14.42257143,-39.08245
8.2,-9.845,-14.39955,-39.12628
8.21,-9.825,-14.37505,-39.170484
8.22,-9.805142857,-14.35071429,-39.21926
8.23,-9.786571429,-14.32785714,-39.268618
8.24,-9.768,-14.305,-39.329784
8.25,-9.748952381,-14.28214286,-39.38755
8.26,-9.729904762,-14.25928571,-39.413764
8.27,-9.71045,-14.2354,-39.43483
8.28,-9.69095,-14.2114,-39.42712
8.29,-9.672285714,-14.18842857,-39.421636
8.3,-9.653714286,-14.16557143,-39.42472
8.31,-9.635904762,-14.14309524,-39.454068
8.32,-9.618285714,-14.12071429,-39.557896
8.33,-9.6004,-14.0979,-39.657512
8.34,-9.5824,-14.0749,-39.747976
8.35,-9.565666667,-14.05266667,-39.83673
8.36,-9.54947619,-14.0307619,-39.922568
8.37,-9.533571429,-14.00914286,-40.008188
8.38,-9.517857143,-13.98771429,-40.093512
8.39,-9.502,-13.96625,-40.180066
8.4,-9.486,-13.94475,-40.26796
8.41,-9.471095238,-13.9237619,-40.35969
8.42,-9.457285714,-13.90328571,-40.45478
8.43,-9.44325,-13.88275,-40.551682
8.44,-9.428875,-13.862125,-40.649856
8.45,-9.416117647,-13.84247059,-40.74308
8.46,-9.403764706,-13.82311765,-40.833544
8.47,-9.391411765,-13.80429412,-40.903244
8.48,-9.37925,-13.78525,-40.963896
8.49,-9.367375,-13.765875,-40.995598
8.5,-9.3562,-13.7472,-41.0177
8.51,-9.3452,-13.7287,-41.036076
8.52,-9.3346,-13.711,-41.053552
8.53,-9.3241,-13.6935,-41.081636
8.54,-9.314,-13.676,-41.111448
8.55,-9.304,-13.6585,-41.15489
8.56,-9.294421053,-13.64110526,-41.199608
8.57,-9.284947368,-13.62373684,-41.2508
8.58,-9.27644,-13.6076,-41.302284
8.59,-9.26804,-13.5916,-41.357282
8.6,-9.2598,-13.57576,-41.41236
8.61,-9.2518,-13.56016,-41.468386
8.62,-9.2438,-13.54456,-41.524344
8.63,-9.23688,-13.52968,-41.579856
8.64,-9.23008,-13.51488,-41.635272
8.65,-9.22344,-13.50056,-41.69027
8.66,-9.21704,-13.48696,-41.744772
8.67,-9.21064,-13.47336,-41.797714
8.68,-9.20475,-13.45925,-41.8502
8.69,-9.198916667,-13.44508333,-41.9016
8.7,-9.1936,-13.4318,-41.95246
8.71,-9.1888,-13.4194,-42.002318
8.72,-9.184,-13.407,-42.050512
8.73,-9.1804,-13.3954,-42.096258
8.74,-9.1768,-13.3838,-42.141296
8.75,-9.1734,-13.3724,-42.1855
8.76,-9.1702,-13.3612,-42.227856
8.77,-9.167,-13.35,-42.268462
8.78,-9.1646,-13.34,-42.307024
8.79,-9.1622,-13.33,-42.344032
8.8,-9.160166667,-13.32,-42.37848
8.81,-9.1585,-13.31,-42.411376
8.82,-9.15692,-13.30012,-42.442532
8.83,-9.15612,-13.29132,-42.472858
8.84,-9.15532,-13.28252,-42.498672
8.85,-9.15476,-13.2742,-42.52283
8.86,-9.15436,-13.2662,-42.54416
8.87,-9.15408,-13.25824,-42.56472
8.88,-9.15488,-13.25064,-42.581824
8.89,-9.15568,-13.24304,-42.598272
8.9,-9.15672,-13.23616,-42.60966
8.91,-9.15792,-13.22976,-42.620454
8.92,-9.159208333,-13.22333333,-42.630272
8.93,-9.161291667,-13.21666667,-42.640014
8.94,-9.163375,-13.21,-42.643612
8.95,-9.16596,-13.20436,-42.64727
8.96,-9.16876,-13.19916,-42.651896
8.97,-9.17168,-13.19408,-42.656348
8.98,-9.17508,-13.18948,-42.659432
8.99,-9.17848,-13.18488,-42.661312
9,-9.18188,-13.18028,-42.6572
9.01,-9.18528,-13.17568,-42.655824
9.02,-9.188816327,-13.17126531,-42.664048
9.03,-9.192897959,-13.16759184,-42.676532
9.04,-9.196979592,-13.16391837,-42.700176
9.05,-9.201061224,-13.1602449,-42.73164
9.06,-9.205142857,-13.15657143,-42.778928
9.07,-9.20938,-13.15316,-42.815524
9.08,-9.21398,-13.15036,-42.835056
9.09,-9.21858,-13.14756,-42.829502
9.1,-9.22318,-13.14476,-42.79198
9.11,-9.22778,-13.14196,-42.75014
9.12,-9.23244,-13.13928,-42.70388
9.13,-9.23724,-13.13688,-42.665798
9.14,-9.24204,-13.13448,-42.634444
9.15,-9.24684,-13.13208,-42.61053
9.16,-9.25164,-13.12968,-42.591512
9.17,-9.2565,-13.127375,-42.575874
9.18,-9.2615,-13.12529167,-42.561996
9.19,-9.2665,-13.12320833,-42.55251
9.2,-9.27132,-13.1212,-42.5448
9.21,-9.27612,-13.1192,-42.538666
9.22,-9.2806,-13.11736,-42.533012
9.23,-9.2846,-13.11576,-42.529046
9.24,-9.2886,-13.11416,-42.525448
9.25,-9.2926,-13.1122,-42.52365
9.26,-9.2966,-13.1102,-42.522108
9.27,-9.30044,-13.1082,-42.522956
9.28,-9.30404,-13.1062,-42.523984
9.29,-9.30764,-13.1042,-42.526024
9.3,-9.311,-13.10175,-42.52812
9.31,-9.314333333,-13.09925,-42.531204
9.32,-9.3174,-13.097,-42.534576
9.33,-9.3202,-13.095,-42.540744
9.34,-9.323,-13.093,-42.54714
9.35,-9.325,-13.0902,-42.55485
9.36,-9.327,-13.0874,-42.562768
9.37,-9.3285,-13.0845,-42.571506
9.38,-9.3295,-13.0815,-42.5813
9.39,-9.3305,-13.0785,-42.59415
9.4,-9.3315,-13.0755,-42.60716
9.41,-9.3325,-13.0725,-42.620524
9.42,-9.332897959,-13.06916327,-42.635016
9.43,-9.332693878,-13.0654898,-42.651464
9.44,-9.332489796,-13.06181633,-42.6718
9.45,-9.332285714,-13.05814286,-42.6975
9.46,-9.332081633,-13.05446939,-42.725884
9.47,-9.33092,-13.05024,-42.757238
9.48,-9.32912,-13.04564,-42.796752
9.49,-9.32732,-13.04104,-42.843526
9.5,-9.32552,-13.03644,-42.896
9.51,-9.32372,-13.03184,-42.95254
9.52,-9.321040816,-13.02669388,-43.009736
9.53,-9.31777551,-13.02118367,-43.067304
9.54,-9.314510204,-13.01567347,-43.118108
9.55,-9.311244898,-13.01016327,-43.16591
9.56,-9.307979592,-13.00465306,-43.217168
9.57,-9.30392,-12.9988,-43.269596
9.58,-9.29952,-12.9928,-43.31502
9.59,-9.29504,-12.98672,-43.35871
9.6,-9.29024,-12.98032,-43.40988
9.61,-9.28544,-12.97392,-43.462308
9.62,-9.28008,-12.96696,-43.517544
9.63,-9.27448,-12.95976,-43.573056
9.64,-9.26872,-12.95248,-43.63452
9.65,-9.26232,-12.94488,-43.69627
9.66,-9.25592,-12.93728,-43.761548
9.67,-9.24924,-12.92968,-43.827092
9.68,-9.24244,-12.92208,-43.895968
9.69,-9.2355,-12.91425,-43.965504
9.7,-9.228,-12.9055,-44.03952
9.71,-9.2205,-12.89675,-44.114664
9.72,-9.21292,-12.88796,-44.194848
9.73,-9.20532,-12.87916,-44.276008
9.74,-9.1976,-12.87036,-44.360304
9.75,-9.1896,-12.86156,-44.4464
9.76,-9.1816,-12.85276,-44.536864
9.77,-9.17328,-12.84332,-44.629998
9.78,-9.16488,-12.83372,-44.728172
9.79,-9.15636,-12.82412,-44.830466
9.8,-9.14756,-12.81452,-44.93892
9.81,-9.13876,-12.80492,-45.054628
9.82,-9.13,-12.795,-45.179016
9.83,-9.12125,-12.785,-45.317028
9.84,-9.11248,-12.77484,-45.468144
9.85,-9.10368,-12.76444,-45.64796999
9.86,-9.09488,-12.75404,-45.84997199
9.87,-9.08644,-12.744,-46.088544
9.88,-9.07804,-12.734,-46.34965601
9.89,-9.06964,-12.72384,-46.52150001
9.9,-9.06124,-12.71344,-46.65000001
9.91,-9.05284,-12.70304,-46.53390399
9.92,-9.04444,-12.69264,-46.32624799
9.93,-9.03604,-12.68224,-46.17648
9.94,-9.027666667,-12.67166667,-46.04284
9.95,-9.019333333,-12.66083333,-46.02487
9.96,-9.011,-12.65,-46.029496
9.97,-9.004,-12.64,-46.083128
9.98,-8.996,-12.629,-46.142752
9.99,-8.989,-12.619,
10,-8.981,-12.609,
10,-8.981,-12.609,
