Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3_1 []"
1.31,-25.94934091,-34.26943182,-40.447492
1.32,-25.85956818,-34.14238636,-40.312824
1.33,-25.76979545,-34.01534091,-40.17562199
1.34,-25.67997778,-33.88706667,-40.03735599
1.35,-25.58975556,-33.74773333,-39.8987
1.36,-25.49953333,-33.6084,-39.75992
1.37,-25.40931111,-33.46906667,-39.62532
1.38,-25.31908889,-33.32973333,-39.49168
1.39,-25.22793333,-33.1852,-39.35804
1.4,-25.13615556,-33.0372,-39.2244
1.41,-25.04437778,-32.8892,-39.087442
1.42,-24.9526,-32.7412,-38.950204
1.43,-24.86048276,-32.59237931,-38.820998
1.44,-24.76531034,-32.43617241,-38.692048
1.45,-24.67013793,-32.27996552,-38.56509
1.46,-24.57553333,-32.1248,-38.438308
1.47,-24.4832,-31.9738,-38.313406
1.48,-24.39086667,-31.8228,-38.189944
1.49,-24.2986,-31.67226667,-38.075322
1.5,-24.2066,-31.5236,-37.9593
1.51,-24.1146,-31.37493333,-37.837482
1.52,-24.0226,-31.227,-37.721168
1.53,-23.9306,-31.082,-37.621452
1.54,-23.8386,-30.937,-37.518928
1.55,-23.74673333,-30.79273333,-37.40996
1.56,-23.6554,-30.6514,-37.306512
1.57,-23.559,-30.5055,-37.212964
1.58,-23.4624,-30.3616,-37.119416
1.59,-23.3704,-30.22693333,-37.025868
1.6,-23.2784,-30.096,-36.93136
1.61,-23.1885,-29.96975,-36.835756
1.62,-23.095,-29.8425,-36.747656
1.63,-23.00675,-29.72275,-36.666444
1.64,-22.94475,-29.6235,-36.588488
1.65,-22.9485,-29.531,-36.51293
1.66,-23.0645,-29.457,-36.440936
1.67,-23.058,-29.38,-36.371032
1.68,-22.922,-29.271,-36.305352
1.69,-22.77475,-29.121,-36.241616
1.7,-22.651,-28.972,-36.18206
1.71,-22.543,-28.83685714,-36.123978
1.72,-22.45028571,-28.71857143,-36.070792
1.73,-22.3576,-28.60053333,-36.018878
1.74,-22.2716,-28.49186667,-35.97176
1.75,-22.1898,-28.3892,-35.9255
1.76,-22.1098,-28.2896,-35.88388
1.77,-22.0318,-28.1936,-35.84276
1.78,-21.9568,-28.1018,-35.807544
1.79,-21.8832,-28.01276,-35.772652
1.8,-21.8112,-27.92716,-35.74284
1.81,-21.7392,-27.84156,-35.713368
1.82,-21.667875,-27.7595,-35.688696
1.83,-21.596625,-27.67783333,-35.664706
1.84,-21.5284,-27.6008,-35.645688
1.85,-21.4632,-27.5284,-35.62748
1.86,-21.398,-27.456,-35.613088
1.87,-21.3356,-27.39,-35.600584
1.88,-21.2732,-27.324,-35.594416
1.89,-21.2122,-27.2608,-35.588686
1.9,-21.1526,-27.2004,-35.58406
1.91,-21.093,-27.14,-35.580826
1.92,-21.0362,-27.0852,-35.580312
1.93,-20.9794,-27.0304,-35.581414
1.94,-20.92266667,-26.97716667,-35.585012
1.95,-20.866,-26.9255,-35.59068
1.96,-20.80984,-26.87456,-35.598904
1.97,-20.75824,-26.83016,-35.614868
1.98,-20.70664,-26.78576,-35.638512
1.99,-20.65692308,-26.74446154,-35.65472
2,-20.60775,-26.70525,-35.665
2.01,-20.55708333,-26.66625,-35.6847
2.02,-20.50791667,-26.62875,-35.7104
2.03,-20.46284615,-26.59523077,-35.73439
2.04,-20.416,-26.562,-35.75752
2.05,-20.36933333,-26.53033333,-35.78287
2.06,-20.326,-26.501,-35.809084
2.07,-20.282,-26.4735,-35.841666
2.08,-20.239,-26.447,-35.876104
2.09,-20.198875,-26.42425,-35.904578
2.1,-20.1565,-26.4,-35.93182
2.11,-20.11685714,-26.37942857,-35.97359
2.12,-20.078625,-26.359875,-36.01728
2.13,-20.038,-26.34028571,-36.05133
2.14,-20.0005,-26.322875,-36.08474
2.15,-19.96456667,-26.30796667,-36.13294
2.16,-19.92823333,-26.29363333,-36.18104
2.17,-19.8919,-26.2793,-36.22473
2.18,-19.85589655,-26.26703448,-36.268264
2.19,-19.82003448,-26.25565517,-36.310412
2.2,-19.78417241,-26.24427586,-36.35424
2.21,-19.75086667,-26.2356,-36.407182
2.22,-19.7182,-26.2276,-36.458288
2.23,-19.68553333,-26.2196,-36.502492
2.24,-19.65393333,-26.21373333,-36.549008
2.25,-19.6226,-26.2084,-36.60195
2.26,-19.59126667,-26.20306667,-36.6544
2.27,-19.56073333,-26.19933333,-36.7058
2.28,-19.5304,-26.196,-36.755664
2.29,-19.50006667,-26.19266667,-36.802952
2.3,-19.46972414,-26.19034483,-36.85354
2.31,-19.43937931,-26.18827586,-36.908538
2.32,-19.40903448,-26.1862069,-36.960312
2.33,-19.3805,-26.1854,-37.008628
2.34,-19.35216667,-26.18473333,-37.056944
2.35,-19.32383333,-26.18406667,-37.10526
2.36,-19.2958,-26.184,-37.15388
2.37,-19.2678,-26.184,-37.20271
2.38,-19.2398,-26.184,-37.250212
2.39,-19.2121,-26.184,-37.296986
2.4,-19.18443333,-26.184,-37.34232
2.41,-19.15676667,-26.184,-37.387038
2.42,-19.12824138,-26.18337931,-37.429816
2.43,-19.09962069,-26.18268966,-37.471964
2.44,-19.071,-26.182,-37.5112
2.45,-19.04366667,-26.18033333,-37.54975
2.46,-19.01633333,-26.17866667,-37.585636
2.47,-18.989,-26.177,-37.621102
2.48,-18.961,-26.17366667,-37.652792
2.49,-18.933,-26.17033333,-37.684146
2.5,-18.905,-26.167,-37.7125
2.51,-18.877,-26.16133333,-37.740686
2.52,-18.849,-26.15566667,-37.765872
2.53,-18.821,-26.15,-37.787614
2.54,-18.792,-26.14166667,-37.770652
2.55,-18.763,-26.13333333,-37.75019
2.56,-18.734,-26.125,-37.707528
2.57,-18.70365517,-26.11293103,-37.658594
2.58,-18.67331034,-26.10086207,-37.583036
2.59,-18.64296667,-26.0885,-37.576652
2.6,-18.61263333,-26.0735,-37.78328
2.61,-18.5823,-26.0585,-37.9588
2.62,-18.55186667,-26.04303333,-38.0616
2.63,-18.52053333,-26.02336667,-38.094694
2.64,-18.4892,-26.0037,-38.000632
2.65,-18.45776667,-25.9836,-37.92169
2.66,-18.42543333,-25.9596,-37.864636
2.67,-18.3931,-25.9356,-37.811152
2.68,-18.36051724,-25.91106897,-37.761808
2.69,-18.32568966,-25.88175862,-37.710602
2.7,-18.29086207,-25.85244828,-37.65766
2.71,-18.25606667,-25.82226667,-37.603542
2.72,-18.2214,-25.7886,-37.548544
2.73,-18.18673333,-25.75493333,-37.491936
2.74,-18.1518,-25.72033333,-37.434368
2.75,-18.1158,-25.682,-37.3747
2.76,-18.0798,-25.64366667,-37.314048
2.77,-18.04353333,-25.60433333,-37.25264
2.78,-18.0062,-25.561,-37.19096
2.79,-17.96886667,-25.51766667,-37.126438
2.8,-17.93106897,-25.47306897,-37.06116
2.81,-17.89141379,-25.42341379,-36.995014
2.82,-17.85175862,-25.37375862,-36.928708
2.83,-17.8122,-25.3233,-36.860092
2.84,-17.77286667,-25.27096667,-36.791216
2.85,-17.73353333,-25.21863333,-36.72038
2.86,-17.69388,-25.1652,-36.649456
2.87,-17.65348,-25.1092,-36.579552
2.88,-17.61308,-25.0532,-36.50936
2.89,-17.57172,-24.99464,-36.43483
2.9,-17.53012,-24.93544,-36.35994
2.91,-17.4884,-24.87552,-36.282326
2.92,-17.4464,-24.81392,-36.205856
2.93,-17.4044,-24.75232,-36.134924
2.94,-17.36033333,-24.68633333,-36.062484
2.95,-17.31575,-24.61925,-35.98487
2.96,-17.27172,-24.55244,-35.90596
2.97,-17.22852,-24.48604,-35.82372
2.98,-17.18532,-24.41964,-35.745952
2.99,-17.1414,-24.3518,-35.677076
3,-17.0974,-24.2838,-35.6052
3.01,-17.0534,-24.21548,-35.528614
3.02,-17.0094,-24.14668,-35.448836
